State,County,Votes_Left,Votes_Right,Total_shootings,Normalized_Shootings_rate
Georgia,Glascock County,1403,155,0,0.000
Georgia,Glynn County,25581,15857,3,0.007
Georgia,Gordon County,19405,4384,2,0.008
Georgia,Grady County,7027,3608,0,0.000
Georgia,Greene County,7068,4088,1,0.008
Georgia,Gwinnett County,166016,241140,17,0.004
Georgia,Habersham County,16616,3559,2,0.009
Georgia,Hall County,64105,25002,7,0.007
Georgia,Hancock County,1159,2985,0,0.000
Georgia,Haralson County,12326,1792,1,0.006
Georgia,Harris County,14319,5457,1,0.005
Georgia,Hart County,9464,3157,0,0.000
Georgia,Heard County,4515,823,0,0.000
Georgia,Henry County,48187,73276,8,0.006
Georgia,Houston County,41468,32149,3,0.004
Georgia,Irwin County,3134,1008,0,0.000
Georgia,Jackson County,29497,7642,1,0.002
Georgia,Jasper County,5822,1761,1,0.012
Georgia,Jeff Davis County,4695,1028,1,0.016
Georgia,Jefferson County,3537,4061,0,0.000
Georgia,Jenkins County,2161,1266,0,0.000
Georgia,Johnson County,2850,1222,0,0.000
Georgia,Jones County,9965,4888,0,0.000
Georgia,Lamar County,6322,2612,1,0.010
Georgia,Lanier County,2509,1019,0,0.000
Georgia,Laurens County,14479,8048,3,0.012
Georgia,Lee County,11998,4556,2,0.011
Georgia,Liberty County,7944,13051,0,0.000
Georgia,Lincoln County,3175,1432,0,0.000
Georgia,Long County,3528,2033,1,0.016
Georgia,Lowndes County,25520,19832,3,0.006
Georgia,Lumpkin County,12160,3122,1,0.006
Georgia,McDuffie County,6169,4168,0,0.000
Georgia,McIntosh County,4016,2612,3,0.041
Georgia,Macon County,1783,2857,0,0.000
Georgia,Madison County,11146,3365,0,0.000
Georgia,Marion County,2275,1311,0,0.000
Georgia,Meriwether County,6524,4287,1,0.008
Georgia,Miller County,2066,749,0,0.000
Georgia,Mitchell County,4933,3990,0,0.000
Georgia,Monroe County,11060,4384,1,0.006
Georgia,Montgomery County,2959,976,0,0.000
Georgia,Morgan County,8228,3355,0,0.000
Georgia,Murray County,12943,2302,0,0.000
Georgia,Muscogee County,29949,49201,9,0.010
Georgia,Newton County,23867,29781,4,0.007
Georgia,Oconee County,16594,8160,1,0.004
Georgia,Oglethorpe County,5591,2435,0,0.000
Georgia,Paulding County,54460,29658,2,0.002
Georgia,Peach County,6502,5920,0,0.000
Georgia,Pickens County,14075,2808,3,0.016
Georgia,Pierce County,7899,1099,0,0.000
Georgia,Pike County,9124,1503,1,0.009
Georgia,Polk County,13589,3658,3,0.016
Georgia,Pulaski County,2805,1217,0,0.000
Georgia,Putnam County,8291,3448,1,0.008
Georgia,Quitman County,604,497,0,0.000
Georgia,Rabun County,7474,1984,1,0.010
Georgia,Randolph County,1391,1671,1,0.030
Georgia,Richmond County,26707,58776,6,0.006
Georgia,Rockdale County,12990,31199,1,0.002
Georgia,Schley County,1800,462,0,0.000
Georgia,Screven County,3915,2661,1,0.014
Georgia,Seminole County,2607,1251,0,0.000
Georgia,Spalding County,17337,11356,3,0.010
Georgia,Stephens County,9368,2385,0,0.000
Georgia,Stewart County,801,1182,1,0.046
Georgia,Sumter County,5732,6318,0,0.000
Georgia,Talbot County,1390,2113,0,0.000
Georgia,Taliaferro County,360,561,0,0.000
Georgia,Tattnall County,6048,2059,1,0.011
Georgia,Taylor County,2418,1387,1,0.024
Georgia,Telfair County,2822,1480,0,0.000
Georgia,Terrell County,2004,2376,0,0.000
Georgia,Thomas County,12954,8708,2,0.008
Georgia,Tift County,10784,5322,1,0.006
Georgia,Toombs County,7872,2939,0,0.000
Georgia,Towns County,6384,1550,0,0.000
Georgia,Treutlen County,2101,952,0,0.000
Georgia,Troup County,18097,11542,3,0.009
Georgia,Turner County,2349,1410,0,0.000
Georgia,Twiggs County,2368,2040,0,0.000
Georgia,Union County,12638,2801,0,0.000
Georgia,Upson County,8602,4201,0,0.000
Georgia,Walker County,23166,5764,4,0.013
Georgia,Walton County,37590,12609,4,0.007
Georgia,Ware County,9930,4249,2,0.013
Georgia,Warren County,1177,1488,0,0.000
Georgia,Washington County,4663,4730,1,0.010
Georgia,Wayne County,9987,2687,1,0.007
Georgia,Webster County,748,639,0,0.000
Georgia,Wheeler County,1583,688,1,0.040
Georgia,White County,12222,2411,0,0.000
Georgia,Whitfield County,25636,10670,5,0.013
Georgia,Wilcox County,2403,862,0,0.000
Georgia,Wilkes County,2823,2159,0,0.000
Georgia,Wilkinson County,2664,2075,0,0.000
Georgia,Worth County,6826,2395,1,0.010
Hawaii,Hawaii County,26851,58683,11,0.012
Hawaii,Honolulu County,136061,238601,25,0.006
Hawaii,Kauai County,11579,21217,1,0.003
Hawaii,Maui County,22111,47301,2,0.003
Idaho,Ada County,130699,120539,13,0.005
Idaho,Adams County,1941,591,1,0.036
Idaho,Bannock County,23331,14682,3,0.007
Idaho,Bear Lake County,2814,350,0,0.000
Idaho,Benewah County,3878,977,0,0.000
Idaho,Bingham County,15295,4124,1,0.005
Idaho,Blaine County,4031,8919,0,0.000
Idaho,Boise County,3495,1214,0,0.000
Idaho,Bonner County,18369,8310,4,0.014
Idaho,Bonneville County,37805,14254,3,0.005
Idaho,Boundary County,4937,1220,0,0.000
