,state,county,candidate,party,voteStates,lead
78,Florida,Baker County,Donald Trump,REP,11911,Donald Trump
79,Florida,Baker County,Joe Biden,DEM,2037,Donald Trump
80,Florida,Baker County,Jo Jorgensen,LIB,93,Donald Trump
81,Florida,Baker County, Write-ins,WRI,23,Donald Trump
82,Florida,Baker County,Howie Hawkins,GRN,10,Donald Trump
83,Florida,Baker County,Rocky De La Fuente,ALI,4,Donald Trump
84,Florida,Baker County,Gloria La Riva,PSL,3,Donald Trump
85,Florida,Baker County,Don Blankenship,CST,1,Donald Trump
86,Florida,Bay County,Donald Trump,REP,65993,Donald Trump
87,Florida,Bay County,Joe Biden,DEM,25538,Donald Trump
88,Florida,Bay County,Jo Jorgensen,LIB,997,Donald Trump
89,Florida,Bay County, Write-ins,WRI,205,Donald Trump
90,Florida,Bay County,Howie Hawkins,GRN,141,Donald Trump
91,Florida,Bay County,Rocky De La Fuente,ALI,54,Donald Trump
92,Florida,Bay County,Don Blankenship,CST,52,Donald Trump
93,Florida,Bay County,Gloria La Riva,PSL,45,Donald Trump
94,Florida,Bradford County,Donald Trump,REP,10334,Donald Trump
95,Florida,Bradford County,Joe Biden,DEM,3160,Donald Trump
96,Florida,Bradford County,Jo Jorgensen,LIB,110,Donald Trump
97,Florida,Bradford County, Write-ins,WRI,19,Donald Trump
98,Florida,Bradford County,Howie Hawkins,GRN,11,Donald Trump
99,Florida,Bradford County,Rocky De La Fuente,ALI,7,Donald Trump
100,Florida,Bradford County,Don Blankenship,CST,6,Donald Trump
101,Florida,Bradford County,Gloria La Riva,PSL,3,Donald Trump
102,Florida,Brevard County,Donald Trump,REP,207700,Donald Trump
103,Florida,Brevard County,Joe Biden,DEM,148403,Donald Trump
104,Florida,Brevard County,Jo Jorgensen,LIB,3173,Donald Trump
105,Florida,Brevard County,Howie Hawkins,GRN,551,Donald Trump
106,Florida,Brevard County,Rocky De La Fuente,ALI,221,Donald Trump
107,Florida,Brevard County,Don Blankenship,CST,171,Donald Trump
108,Florida,Brevard County,Gloria La Riva,PSL,164,Donald Trump
109,Florida,Broward County,Joe Biden,DEM,617689,Donald Trump
110,Florida,Broward County,Donald Trump,REP,332960,Donald Trump
111,Florida,Broward County,Jo Jorgensen,LIB,3100,Donald Trump
112,Florida,Broward County,Howie Hawkins,GRN,1251,Donald Trump
113,Florida,Broward County,Rocky De La Fuente,ALI,426,Donald Trump
114,Florida,Broward County,Gloria La Riva,PSL,413,Donald Trump
115,Florida,Broward County,Don Blankenship,CST,237,Donald Trump
116,Florida,Broward County, Write-ins,WRI,0,Donald Trump
117,Florida,Calhoun County,Donald Trump,REP,5269,Donald Trump
118,Florida,Calhoun County,Joe Biden,DEM,1206,Donald Trump
119,Florida,Calhoun County,Jo Jorgensen,LIB,29,Donald Trump
120,Florida,Calhoun County, Write-ins,WRI,11,Donald Trump
121,Florida,Calhoun County,Rocky De La Fuente,ALI,4,Donald Trump
122,Florida,Calhoun County,Howie Hawkins,GRN,4,Donald Trump
123,Florida,Calhoun County,Gloria La Riva,PSL,4,Donald Trump
124,Florida,Calhoun County,Don Blankenship,CST,2,Donald Trump
125,Florida,Charlotte County,Donald Trump,REP,73202,Donald Trump
126,Florida,Charlotte County,Joe Biden,DEM,42240,Donald Trump
127,Florida,Charlotte County,Jo Jorgensen,LIB,564,Donald Trump
128,Florida,Charlotte County, Write-ins,WRI,222,Donald Trump
129,Florida,Charlotte County,Howie Hawkins,GRN,127,Donald Trump
130,Florida,Charlotte County,Rocky De La Fuente,ALI,49,Donald Trump
131,Florida,Charlotte County,Don Blankenship,CST,45,Donald Trump
132,Florida,Charlotte County,Gloria La Riva,PSL,32,Donald Trump
133,Florida,Citrus County,Donald Trump,REP,65230,Donald Trump
134,Florida,Citrus County,Joe Biden,DEM,27049,Donald Trump
135,Florida,Citrus County,Jo Jorgensen,LIB,548,Donald Trump
136,Florida,Citrus County, Write-ins,WRI,189,Donald Trump
137,Florida,Citrus County,Howie Hawkins,GRN,86,Donald Trump
138,Florida,Citrus County,Don Blankenship,CST,49,Donald Trump
139,Florida,Citrus County,Rocky De La Fuente,ALI,42,Donald Trump
140,Florida,Citrus County,Gloria La Riva,PSL,30,Donald Trump
141,Florida,Clay County,Donald Trump,REP,84422,Donald Trump
142,Florida,Clay County,Joe Biden,DEM,38248,Donald Trump
143,Florida,Clay County,Jo Jorgensen,LIB,1280,Donald Trump
144,Florida,Clay County, Write-ins,WRI,263,Donald Trump
145,Florida,Clay County,Howie Hawkins,GRN,153,Donald Trump
146,Florida,Clay County,Don Blankenship,CST,57,Donald Trump
147,Florida,Clay County,Gloria La Riva,PSL,54,Donald Trump
148,Florida,Clay County,Rocky De La Fuente,ALI,45,Donald Trump
149,Florida,Collier County,Donald Trump,REP,128820,Donald Trump
150,Florida,Collier County,Joe Biden,DEM,77529,Donald Trump
151,Florida,Collier County,Jo Jorgensen,LIB,887,Donald Trump
152,Florida,Collier County,Howie Hawkins,GRN,186,Donald Trump
153,Florida,Collier County,Rocky De La Fuente,ALI,64,Donald Trump
154,Florida,Collier County,Gloria La Riva,PSL,49,Donald Trump
155,Florida,Collier County,Don Blankenship,CST,39,Donald Trump
156,Florida,Columbia County,Donald Trump,REP,23819,Donald Trump
157,Florida,Columbia County,Joe Biden,DEM,8900,Donald Trump
158,Florida,Columbia County,Jo Jorgensen,LIB,224,Donald Trump
159,Florida,Columbia County,Howie Hawkins,GRN,28,Donald Trump
160,Florida,Columbia County,Gloria La Riva,PSL,20,Donald Trump
161,Florida,Columbia County,Rocky De La Fuente,ALI,12,Donald Trump
162,Florida,Columbia County,Don Blankenship,CST,8,Donald Trump
163,Florida,Columbia County, Write-ins,WRI,0,Donald Trump
164,Florida,DeSoto County,Donald Trump,REP,8292,Donald Trump
165,Florida,DeSoto County,Joe Biden,DEM,4249,Donald Trump
166,Florida,DeSoto County,Jo Jorgensen,LIB,52,Donald Trump
167,Florida,DeSoto County, Write-ins,WRI,17,Donald Trump
