,state,county,candidate,party,voteStates,lead
10414,Michigan,Lapeer County,Joe Biden,DEM,16368,Joe Biden
10415,Michigan,Lapeer County,Jo Jorgensen,LIB,573,Joe Biden
10416,Michigan,Lapeer County,Howie Hawkins,GRN,113,Joe Biden
10417,Michigan,Lapeer County,Don Blankenship,CST,78,Joe Biden
10418,Michigan,Lapeer County,Rocky De La Fuente,ALI,27,Joe Biden
10419,Michigan,Lapeer County, Write-ins,WRI,0,Joe Biden
10420,Michigan,Leelanau County,Joe Biden,DEM,8793,Joe Biden
10421,Michigan,Leelanau County,Donald Trump,REP,7915,Joe Biden
10422,Michigan,Leelanau County,Jo Jorgensen,LIB,134,Joe Biden
10423,Michigan,Leelanau County,Howie Hawkins,GRN,40,Joe Biden
10424,Michigan,Leelanau County, Write-ins,WRI,35,Joe Biden
10425,Michigan,Leelanau County,Don Blankenship,CST,9,Joe Biden
10426,Michigan,Leelanau County,Rocky De La Fuente,ALI,4,Joe Biden
10427,Michigan,Lenawee County,Donald Trump,REP,31539,Joe Biden
10428,Michigan,Lenawee County,Joe Biden,DEM,20916,Joe Biden
10429,Michigan,Lenawee County,Jo Jorgensen,LIB,690,Joe Biden
10430,Michigan,Lenawee County,Howie Hawkins,GRN,119,Joe Biden
10431,Michigan,Lenawee County,Don Blankenship,CST,84,Joe Biden
10432,Michigan,Lenawee County, Write-ins,WRI,78,Joe Biden
10433,Michigan,Lenawee County,Rocky De La Fuente,ALI,22,Joe Biden
10434,Michigan,Livingston County,Donald Trump,REP,76980,Joe Biden
10435,Michigan,Livingston County,Joe Biden,DEM,48218,Joe Biden
10436,Michigan,Livingston County,Jo Jorgensen,LIB,1511,Joe Biden
10437,Michigan,Livingston County,Howie Hawkins,GRN,263,Joe Biden
10438,Michigan,Livingston County,Don Blankenship,CST,133,Joe Biden
10439,Michigan,Livingston County,Rocky De La Fuente,ALI,57,Joe Biden
10440,Michigan,Livingston County, Write-ins,WRI,0,Joe Biden
10441,Michigan,Luce County,Donald Trump,REP,2109,Joe Biden
10442,Michigan,Luce County,Joe Biden,DEM,842,Joe Biden
10443,Michigan,Luce County,Don Blankenship,CST,118,Joe Biden
10444,Michigan,Luce County,Jo Jorgensen,LIB,27,Joe Biden
10445,Michigan,Luce County,Rocky De La Fuente,ALI,4,Joe Biden
10446,Michigan,Luce County,Howie Hawkins,GRN,1,Joe Biden
10447,Michigan,Mackinac County,Donald Trump,REP,4258,Joe Biden
10448,Michigan,Mackinac County,Joe Biden,DEM,2589,Joe Biden
10449,Michigan,Mackinac County,Jo Jorgensen,LIB,54,Joe Biden
10450,Michigan,Mackinac County,Howie Hawkins,GRN,11,Joe Biden
10451,Michigan,Mackinac County,Don Blankenship,CST,8,Joe Biden
10452,Michigan,Mackinac County,Rocky De La Fuente,ALI,2,Joe Biden
10453,Michigan,Mackinac County, Write-ins,WRI,0,Joe Biden
10454,Michigan,Macomb County,Donald Trump,REP,264535,Joe Biden
10455,Michigan,Macomb County,Joe Biden,DEM,225561,Joe Biden
10456,Michigan,Macomb County,Jo Jorgensen,LIB,4473,Joe Biden
10457,Michigan,Macomb County,Howie Hawkins,GRN,1158,Joe Biden
10458,Michigan,Macomb County,Don Blankenship,CST,554,Joe Biden
10459,Michigan,Macomb County,Rocky De La Fuente,ALI,242,Joe Biden
10460,Michigan,Manistee County,Donald Trump,REP,8321,Joe Biden
10461,Michigan,Manistee County,Joe Biden,DEM,6107,Joe Biden
10462,Michigan,Manistee County,Jo Jorgensen,LIB,154,Joe Biden
10463,Michigan,Manistee County,Howie Hawkins,GRN,34,Joe Biden
10464,Michigan,Manistee County,Don Blankenship,CST,28,Joe Biden
10465,Michigan,Manistee County,Rocky De La Fuente,ALI,10,Joe Biden
10466,Michigan,Manistee County, Write-ins,WRI,0,Joe Biden
10467,Michigan,Marquette County,Joe Biden,DEM,20465,Joe Biden
10468,Michigan,Marquette County,Donald Trump,REP,16288,Joe Biden
10469,Michigan,Marquette County,Jo Jorgensen,LIB,511,Joe Biden
10470,Michigan,Marquette County,Howie Hawkins,GRN,131,Joe Biden
10471,Michigan,Marquette County,Don Blankenship,CST,43,Joe Biden
10472,Michigan,Marquette County,Rocky De La Fuente,ALI,22,Joe Biden
10473,Michigan,Mason County,Donald Trump,REP,10207,Joe Biden
10474,Michigan,Mason County,Joe Biden,DEM,6802,Joe Biden
10475,Michigan,Mason County,Jo Jorgensen,LIB,143,Joe Biden
10476,Michigan,Mason County,Howie Hawkins,GRN,57,Joe Biden
10477,Michigan,Mason County,Don Blankenship,CST,21,Joe Biden
10478,Michigan,Mason County,Rocky De La Fuente,ALI,19,Joe Biden
10479,Michigan,Mason County, Write-ins,WRI,0,Joe Biden
10480,Michigan,Mecosta County,Donald Trump,REP,13265,Joe Biden
10481,Michigan,Mecosta County,Joe Biden,DEM,7373,Joe Biden
10482,Michigan,Mecosta County,Jo Jorgensen,LIB,303,Joe Biden
10483,Michigan,Mecosta County,Howie Hawkins,GRN,51,Joe Biden
10484,Michigan,Mecosta County,Don Blankenship,CST,37,Joe Biden
10485,Michigan,Mecosta County, Write-ins,WRI,35,Joe Biden
10486,Michigan,Mecosta County,Rocky De La Fuente,ALI,13,Joe Biden
10487,Michigan,Menominee County,Donald Trump,REP,8120,Joe Biden
10488,Michigan,Menominee County,Joe Biden,DEM,4314,Joe Biden
10489,Michigan,Menominee County,Jo Jorgensen,LIB,125,Joe Biden
10490,Michigan,Menominee County,Howie Hawkins,GRN,24,Joe Biden
10491,Michigan,Menominee County,Don Blankenship,CST,22,Joe Biden
10492,Michigan,Menominee County, Write-ins,WRI,15,Joe Biden
10493,Michigan,Menominee County,Rocky De La Fuente,ALI,2,Joe Biden
10494,Michigan,Midland County,Donald Trump,REP,27706,Joe Biden
10495,Michigan,Midland County,Joe Biden,DEM,20513,Joe Biden
10496,Michigan,Midland County,Jo Jorgensen,LIB,715,Joe Biden
10497,Michigan,Midland County,Howie Hawkins,GRN,124,Joe Biden
10498,Michigan,Midland County,Don Blankenship,CST,80,Joe Biden
10499,Michigan,Midland County,Rocky De La Fuente,ALI,27,Joe Biden
10500,Michigan,Midland County, Write-ins,WRI,0,Joe Biden
10501,Michigan,Missaukee County,Donald Trump,REP,6648,Joe Biden
10502,Michigan,Missaukee County,Joe Biden,DEM,1967,Joe Biden
10503,Michigan,Missaukee County,Jo Jorgensen,LIB,111,Joe Biden
10504,Michigan,Missaukee County,Howie Hawkins,GRN,16,Joe Biden
10505,Michigan,Missaukee County,Don Blankenship,CST,10,Joe Biden
10506,Michigan,Missaukee County,Rocky De La Fuente,ALI,2,Joe Biden
10507,Michigan,Missaukee County, Write-ins,WRI,1,Joe Biden
10508,Michigan,Monroe County,Donald Trump,REP,52710,Joe Biden
10509,Michigan,Monroe County,Joe Biden,DEM,32975,Joe Biden
10510,Michigan,Monroe County,Jo Jorgensen,LIB,1086,Joe Biden
10511,Michigan,Monroe County,Howie Hawkins,GRN,193,Joe Biden
10512,Michigan,Monroe County,Don Blankenship,CST,143,Joe Biden
10513,Michigan,Monroe County,Rocky De La Fuente,ALI,41,Joe Biden
10514,Michigan,Montcalm County,Donald Trump,REP,21815,Joe Biden
10515,Michigan,Montcalm County,Joe Biden,DEM,9703,Joe Biden
10516,Michigan,Montcalm County,Jo Jorgensen,LIB,428,Joe Biden
10517,Michigan,Montcalm County,Don Blankenship,CST,67,Joe Biden
10518,Michigan,Montcalm County,Howie Hawkins,GRN,56,Joe Biden
10519,Michigan,Montcalm County,Rocky De La Fuente,ALI,17,Joe Biden
10520,Michigan,Montcalm County, Write-ins,WRI,0,Joe Biden
10521,Michigan,Montmorency County,Donald Trump,REP,4171,Joe Biden
10522,Michigan,Montmorency County,Joe Biden,DEM,1628,Joe Biden
10523,Michigan,Montmorency County,Jo Jorgensen,LIB,38,Joe Biden
10524,Michigan,Montmorency County,Don Blankenship,CST,11,Joe Biden
10525,Michigan,Montmorency County,Howie Hawkins,GRN,11,Joe Biden
10526,Michigan,Montmorency County, Write-ins,WRI,4,Joe Biden
10527,Michigan,Montmorency County,Rocky De La Fuente,ALI,0,Joe Biden
10528,Michigan,Muskegon County,Joe Biden,DEM,45508,Joe Biden
10529,Michigan,Muskegon County,Donald Trump,REP,44544,Joe Biden
10530,Michigan,Muskegon County,Jo Jorgensen,LIB,1211,Joe Biden
10531,Michigan,Muskegon County,Howie Hawkins,GRN,269,Joe Biden
10532,Michigan,Muskegon County,Don Blankenship,CST,132,Joe Biden
10533,Michigan,Muskegon County,Rocky De La Fuente,ALI,37,Joe Biden
10534,Michigan,Muskegon County, Write-ins,WRI,0,Joe Biden
10535,Michigan,Newaygo County,Donald Trump,REP,18864,Joe Biden
10536,Michigan,Newaygo County,Joe Biden,DEM,7874,Joe Biden
10537,Michigan,Newaygo County,Jo Jorgensen,LIB,331,Joe Biden
10538,Michigan,Newaygo County,Howie Hawkins,GRN,56,Joe Biden
10539,Michigan,Newaygo County,Don Blankenship,CST,28,Joe Biden
10540,Michigan,Newaygo County,Rocky De La Fuente,ALI,11,Joe Biden
10541,Michigan,Newaygo County, Write-ins,WRI,0,Joe Biden
10542,Michigan,Oakland County,Joe Biden,DEM,438147,Joe Biden
10543,Michigan,Oakland County,Donald Trump,REP,328313,Joe Biden
10544,Michigan,Oakland County,Jo Jorgensen,LIB,7339,Joe Biden
10545,Michigan,Oakland County, Write-ins,WRI,1793,Joe Biden
10546,Michigan,Oakland County,Howie Hawkins,GRN,1758,Joe Biden
10547,Michigan,Oakland County,Don Blankenship,CST,734,Joe Biden
10548,Michigan,Oakland County,Rocky De La Fuente,ALI,334,Joe Biden
10549,Michigan,Oceana County,Donald Trump,REP,8892,Joe Biden
10550,Michigan,Oceana County,Joe Biden,DEM,4944,Joe Biden
10551,Michigan,Oceana County,Jo Jorgensen,LIB,166,Joe Biden
10552,Michigan,Oceana County,Don Blankenship,CST,27,Joe Biden
10553,Michigan,Oceana County,Howie Hawkins,GRN,25,Joe Biden
10554,Michigan,Oceana County, Write-ins,WRI,18,Joe Biden
10555,Michigan,Oceana County,Rocky De La Fuente,ALI,8,Joe Biden
10556,Michigan,Ogemaw County,Donald Trump,REP,8253,Joe Biden
10557,Michigan,Ogemaw County,Joe Biden,DEM,3475,Joe Biden
10558,Michigan,Ogemaw County,Jo Jorgensen,LIB,134,Joe Biden
10559,Michigan,Ogemaw County,Howie Hawkins,GRN,26,Joe Biden
10560,Michigan,Ogemaw County,Don Blankenship,CST,11,Joe Biden
10561,Michigan,Ogemaw County,Rocky De La Fuente,ALI,8,Joe Biden
10562,Michigan,Ogemaw County, Write-ins,WRI,0,Joe Biden
10563,Michigan,Ontonagon County,Donald Trump,REP,2358,Joe Biden
10564,Michigan,Ontonagon County,Joe Biden,DEM,1391,Joe Biden
10565,Michigan,Ontonagon County,Jo Jorgensen,LIB,30,Joe Biden
10566,Michigan,Ontonagon County,Howie Hawkins,GRN,13,Joe Biden
10567,Michigan,Ontonagon County,Don Blankenship,CST,8,Joe Biden
10568,Michigan,Ontonagon County, Write-ins,WRI,6,Joe Biden
10569,Michigan,Ontonagon County,Rocky De La Fuente,ALI,4,Joe Biden
10570,Michigan,Osceola County,Donald Trump,REP,8928,Joe Biden
10571,Michigan,Osceola County,Joe Biden,DEM,3214,Joe Biden
10572,Michigan,Osceola County,Jo Jorgensen,LIB,135,Joe Biden
10573,Michigan,Osceola County,Howie Hawkins,GRN,28,Joe Biden
10574,Michigan,Osceola County,Don Blankenship,CST,21,Joe Biden
10575,Michigan,Osceola County, Write-ins,WRI,11,Joe Biden
10576,Michigan,Osceola County,Rocky De La Fuente,ALI,3,Joe Biden
10577,Michigan,Oscoda County,Donald Trump,REP,3466,Joe Biden
10578,Michigan,Oscoda County,Joe Biden,DEM,1342,Joe Biden
10579,Michigan,Oscoda County,Jo Jorgensen,LIB,39,Joe Biden
10580,Michigan,Oscoda County,Don Blankenship,CST,12,Joe Biden
10581,Michigan,Oscoda County,Howie Hawkins,GRN,11,Joe Biden
10582,Michigan,Oscoda County,Rocky De La Fuente,ALI,4,Joe Biden
10583,Michigan,Oscoda County, Write-ins,WRI,0,Joe Biden
10584,Michigan,Otsego County,Donald Trump,REP,9779,Joe Biden
10585,Michigan,Otsego County,Joe Biden,DEM,4743,Joe Biden
10586,Michigan,Otsego County,Jo Jorgensen,LIB,177,Joe Biden
10587,Michigan,Otsego County,Howie Hawkins,GRN,26,Joe Biden
10588,Michigan,Otsego County,Don Blankenship,CST,23,Joe Biden
10589,Michigan,Otsego County,Rocky De La Fuente,ALI,8,Joe Biden
10590,Michigan,Otsego County, Write-ins,WRI,0,Joe Biden
10591,Michigan,Ottawa County,Donald Trump,REP,100511,Joe Biden
10592,Michigan,Ottawa County,Joe Biden,DEM,64566,Joe Biden
10593,Michigan,Ottawa County,Jo Jorgensen,LIB,2307,Joe Biden
10594,Michigan,Ottawa County,Howie Hawkins,GRN,366,Joe Biden
10595,Michigan,Ottawa County,Don Blankenship,CST,212,Joe Biden
10596,Michigan,Ottawa County,Rocky De La Fuente,ALI,112,Joe Biden
10597,Michigan,Ottawa County, Write-ins,WRI,0,Joe Biden
10598,Michigan,Presque Isle County,Donald Trump,REP,5343,Joe Biden
10599,Michigan,Presque Isle County,Joe Biden,DEM,2912,Joe Biden
10600,Michigan,Presque Isle County,Jo Jorgensen,LIB,70,Joe Biden
10601,Michigan,Presque Isle County, Write-ins,WRI,13,Joe Biden
10602,Michigan,Presque Isle County,Don Blankenship,CST,10,Joe Biden
10603,Michigan,Presque Isle County,Howie Hawkins,GRN,8,Joe Biden
10604,Michigan,Presque Isle County,Rocky De La Fuente,ALI,4,Joe Biden
10605,Michigan,Roscommon County,Donald Trump,REP,9670,Joe Biden
10606,Michigan,Roscommon County,Joe Biden,DEM,5166,Joe Biden
10607,Michigan,Roscommon County,Jo Jorgensen,LIB,121,Joe Biden
10608,Michigan,Roscommon County,Don Blankenship,CST,29,Joe Biden
10609,Michigan,Roscommon County,Howie Hawkins,GRN,25,Joe Biden
10610,Michigan,Roscommon County,Rocky De La Fuente,ALI,7,Joe Biden
10611,Michigan,Roscommon County, Write-ins,WRI,0,Joe Biden
10612,Michigan,Saginaw County,Joe Biden,DEM,51088,Joe Biden
10613,Michigan,Saginaw County,Donald Trump,REP,50785,Joe Biden
10614,Michigan,Saginaw County,Jo Jorgensen,LIB,1007,Joe Biden
10615,Michigan,Saginaw County,Howie Hawkins,GRN,231,Joe Biden
10616,Michigan,Saginaw County,Don Blankenship,CST,160,Joe Biden
10617,Michigan,Saginaw County,Rocky De La Fuente,ALI,76,Joe Biden
10618,Michigan,St. Clair County,Donald Trump,REP,59185,Joe Biden
10619,Michigan,St. Clair County,Joe Biden,DEM,31363,Joe Biden
10620,Michigan,St. Clair County,Jo Jorgensen,LIB,1109,Joe Biden
10621,Michigan,St. Clair County,Howie Hawkins,GRN,213,Joe Biden
10622,Michigan,St. Clair County,Don Blankenship,CST,134,Joe Biden
10623,Michigan,St. Clair County,Rocky De La Fuente,ALI,59,Joe Biden
10624,Michigan,St. Joseph County,Donald Trump,REP,18128,Joe Biden
10625,Michigan,St. Joseph County,Joe Biden,DEM,9262,Joe Biden
10626,Michigan,St. Joseph County,Jo Jorgensen,LIB,416,Joe Biden
10627,Michigan,St. Joseph County,Howie Hawkins,GRN,63,Joe Biden
10628,Michigan,St. Joseph County,Don Blankenship,CST,49,Joe Biden
10629,Michigan,St. Joseph County, Write-ins,WRI,46,Joe Biden
10630,Michigan,St. Joseph County,Rocky De La Fuente,ALI,18,Joe Biden
10631,Michigan,Sanilac County,Donald Trump,REP,16194,Joe Biden
10632,Michigan,Sanilac County,Joe Biden,DEM,5966,Joe Biden
10633,Michigan,Sanilac County,Jo Jorgensen,LIB,213,Joe Biden
10634,Michigan,Sanilac County,Howie Hawkins,GRN,40,Joe Biden
10635,Michigan,Sanilac County,Don Blankenship,CST,22,Joe Biden
10636,Michigan,Sanilac County,Rocky De La Fuente,ALI,11,Joe Biden
10637,Michigan,Sanilac County, Write-ins,WRI,0,Joe Biden
10638,Michigan,Schoolcraft County,Donald Trump,REP,3090,Joe Biden
10639,Michigan,Schoolcraft County,Joe Biden,DEM,1589,Joe Biden
10640,Michigan,Schoolcraft County,Jo Jorgensen,LIB,40,Joe Biden
10641,Michigan,Schoolcraft County,Howie Hawkins,GRN,12,Joe Biden
10642,Michigan,Schoolcraft County,Don Blankenship,CST,10,Joe Biden
10643,Michigan,Schoolcraft County,Rocky De La Fuente,ALI,4,Joe Biden
10644,Michigan,Schoolcraft County, Write-ins,WRI,0,Joe Biden
10645,Michigan,Shiawassee County,Donald Trump,REP,23154,Joe Biden
10646,Michigan,Shiawassee County,Joe Biden,DEM,15371,Joe Biden
10647,Michigan,Shiawassee County,Jo Jorgensen,LIB,525,Joe Biden
10648,Michigan,Shiawassee County,Howie Hawkins,GRN,98,Joe Biden
10649,Michigan,Shiawassee County,Don Blankenship,CST,82,Joe Biden
10650,Michigan,Shiawassee County,Rocky De La Fuente,ALI,20,Joe Biden
10651,Michigan,Tuscola County,Donald Trump,REP,20310,Joe Biden
10652,Michigan,Tuscola County,Joe Biden,DEM,8713,Joe Biden
10653,Michigan,Tuscola County,Jo Jorgensen,LIB,328,Joe Biden
10654,Michigan,Tuscola County,Howie Hawkins,GRN,55,Joe Biden
10655,Michigan,Tuscola County,Don Blankenship,CST,41,Joe Biden
10656,Michigan,Tuscola County, Write-ins,WRI,37,Joe Biden
10657,Michigan,Tuscola County,Rocky De La Fuente,ALI,11,Joe Biden
10658,Michigan,Van Buren County,Donald Trump,REP,21591,Joe Biden
10659,Michigan,Van Buren County,Joe Biden,DEM,16800,Joe Biden
10660,Michigan,Van Buren County,Jo Jorgensen,LIB,504,Joe Biden
10661,Michigan,Van Buren County,Howie Hawkins,GRN,91,Joe Biden
10662,Michigan,Van Buren County,Don Blankenship,CST,60,Joe Biden
10663,Michigan,Van Buren County,Rocky De La Fuente,ALI,14,Joe Biden
10664,Michigan,Van Buren County, Write-ins,WRI,0,Joe Biden
10665,Michigan,Washtenaw County,Joe Biden,DEM,157130,Joe Biden
10666,Michigan,Washtenaw County,Donald Trump,REP,56241,Joe Biden
10667,Michigan,Washtenaw County,Jo Jorgensen,LIB,1956,Joe Biden
10668,Michigan,Washtenaw County, Write-ins,WRI,651,Joe Biden
10669,Michigan,Washtenaw County,Howie Hawkins,GRN,650,Joe Biden
10670,Michigan,Washtenaw County,Don Blankenship,CST,195,Joe Biden
10671,Michigan,Washtenaw County,Rocky De La Fuente,ALI,101,Joe Biden
10672,Michigan,Wayne County,Joe Biden,DEM,587074,Joe Biden
10673,Michigan,Wayne County,Donald Trump,REP,264149,Joe Biden
10674,Michigan,Wayne County,Jo Jorgensen,LIB,6551,Joe Biden
10675,Michigan,Wayne County,Howie Hawkins,GRN,2438,Joe Biden
10676,Michigan,Wayne County,Don Blankenship,CST,1073,Joe Biden
10677,Michigan,Wayne County,Rocky De La Fuente,ALI,536,Joe Biden
10678,Michigan,Wexford County,Donald Trump,REP,12102,Joe Biden
10679,Michigan,Wexford County,Joe Biden,DEM,5838,Joe Biden
10680,Michigan,Wexford County,Jo Jorgensen,LIB,259,Joe Biden
10681,Michigan,Wexford County,Howie Hawkins,GRN,42,Joe Biden
10682,Michigan,Wexford County, Write-ins,WRI,27,Joe Biden
10683,Michigan,Wexford County,Don Blankenship,CST,20,Joe Biden
10684,Michigan,Wexford County,Rocky De La Fuente,ALI,4,Joe Biden
10685,Minnesota,Aitkin County,Donald Trump,REP,6256,Joe Biden
10686,Minnesota,Aitkin County,Joe Biden,DEM,3604,Joe Biden
10687,Minnesota,Aitkin County,Jo Jorgensen,LIB,55,Joe Biden
10688,Minnesota,Aitkin County,Howie Hawkins,GRN,24,Joe Biden
10689,Minnesota,Aitkin County,Brock Pierce,IND,24,Joe Biden
10690,Minnesota,Aitkin County,Kanye West,IND,22,Joe Biden
10691,Minnesota,Aitkin County,Rocky De La Fuente,ALI,15,Joe Biden
10692,Minnesota,Aitkin County,Alyson Kennedy,SWP,3,Joe Biden
10693,Minnesota,Aitkin County,Gloria La Riva,PSL,2,Joe Biden
10694,Minnesota,Anoka County,Donald Trump,REP,104851,Joe Biden
10695,Minnesota,Anoka County,Joe Biden,DEM,100832,Joe Biden
10696,Minnesota,Anoka County,Jo Jorgensen,LIB,2473,Joe Biden
10697,Minnesota,Anoka County,Howie Hawkins,GRN,728,Joe Biden
10698,Minnesota,Anoka County,Kanye West,IND,511,Joe Biden
10699,Minnesota,Anoka County,Rocky De La Fuente,ALI,466,Joe Biden
10700,Minnesota,Anoka County,Brock Pierce,IND,407,Joe Biden
10701,Minnesota,Anoka County,Gloria La Riva,PSL,66,Joe Biden
10702,Minnesota,Anoka County,Alyson Kennedy,SWP,36,Joe Biden
10703,Minnesota,Becker County,Donald Trump,REP,12452,Joe Biden
10704,Minnesota,Becker County,Joe Biden,DEM,6592,Joe Biden
10705,Minnesota,Becker County,Jo Jorgensen,LIB,178,Joe Biden
10706,Minnesota,Becker County,Kanye West,IND,57,Joe Biden
10707,Minnesota,Becker County,Rocky De La Fuente,ALI,40,Joe Biden
10708,Minnesota,Becker County,Howie Hawkins,GRN,39,Joe Biden
10709,Minnesota,Becker County,Brock Pierce,IND,33,Joe Biden
10710,Minnesota,Becker County,Gloria La Riva,PSL,15,Joe Biden
10711,Minnesota,Becker County,Alyson Kennedy,SWP,12,Joe Biden
10712,Minnesota,Beltrami County,Donald Trump,REP,12181,Joe Biden
10713,Minnesota,Beltrami County,Joe Biden,DEM,11424,Joe Biden
10714,Minnesota,Beltrami County,Jo Jorgensen,LIB,256,Joe Biden
10715,Minnesota,Beltrami County,Kanye West,IND,95,Joe Biden
10716,Minnesota,Beltrami County,Howie Hawkins,GRN,75,Joe Biden
10717,Minnesota,Beltrami County,Brock Pierce,IND,33,Joe Biden
10718,Minnesota,Beltrami County,Rocky De La Fuente,ALI,31,Joe Biden
10719,Minnesota,Beltrami County,Gloria La Riva,PSL,17,Joe Biden
10720,Minnesota,Beltrami County,Alyson Kennedy,SWP,9,Joe Biden
10721,Minnesota,Benton County,Donald Trump,REP,14375,Joe Biden
10722,Minnesota,Benton County,Joe Biden,DEM,7280,Joe Biden
10723,Minnesota,Benton County,Jo Jorgensen,LIB,351,Joe Biden
10724,Minnesota,Benton County,Howie Hawkins,GRN,81,Joe Biden
10725,Minnesota,Benton County,Kanye West,IND,45,Joe Biden
10726,Minnesota,Benton County,Brock Pierce,IND,40,Joe Biden
10727,Minnesota,Benton County,Rocky De La Fuente,ALI,29,Joe Biden
10728,Minnesota,Benton County,Alyson Kennedy,SWP,5,Joe Biden
10729,Minnesota,Benton County,Gloria La Riva,PSL,5,Joe Biden
10730,Minnesota,Big Stone County,Donald Trump,REP,1862,Joe Biden
10731,Minnesota,Big Stone County,Joe Biden,DEM,1052,Joe Biden
10732,Minnesota,Big Stone County,Howie Hawkins,GRN,14,Joe Biden
10733,Minnesota,Big Stone County,Jo Jorgensen,LIB,14,Joe Biden
10734,Minnesota,Big Stone County,Kanye West,IND,14,Joe Biden
10735,Minnesota,Big Stone County,Brock Pierce,IND,8,Joe Biden
10736,Minnesota,Big Stone County,Rocky De La Fuente,ALI,4,Joe Biden
10737,Minnesota,Big Stone County, Write-ins,WRI,4,Joe Biden
10738,Minnesota,Big Stone County,Alyson Kennedy,SWP,0,Joe Biden
10739,Minnesota,Big Stone County,Gloria La Riva,PSL,0,Joe Biden
10740,Minnesota,Blue Earth County,Joe Biden,DEM,18319,Joe Biden
10741,Minnesota,Blue Earth County,Donald Trump,REP,16721,Joe Biden
10742,Minnesota,Blue Earth County,Jo Jorgensen,LIB,475,Joe Biden
10743,Minnesota,Blue Earth County,Howie Hawkins,GRN,139,Joe Biden
10744,Minnesota,Blue Earth County,Kanye West,IND,120,Joe Biden
10745,Minnesota,Blue Earth County,Brock Pierce,IND,82,Joe Biden
10746,Minnesota,Blue Earth County,Rocky De La Fuente,ALI,64,Joe Biden
10747,Minnesota,Blue Earth County,Alyson Kennedy,SWP,16,Joe Biden
10748,Minnesota,Blue Earth County,Gloria La Riva,PSL,10,Joe Biden
10749,Minnesota,Brown County,Donald Trump,REP,9548,Joe Biden
10750,Minnesota,Brown County,Joe Biden,DEM,4745,Joe Biden
10751,Minnesota,Brown County,Jo Jorgensen,LIB,136,Joe Biden
10752,Minnesota,Brown County,Brock Pierce,IND,41,Joe Biden
10753,Minnesota,Brown County, Write-ins,WRI,40,Joe Biden
10754,Minnesota,Brown County,Howie Hawkins,GRN,38,Joe Biden
10755,Minnesota,Brown County,Rocky De La Fuente,ALI,33,Joe Biden
10756,Minnesota,Brown County,Kanye West,IND,33,Joe Biden
10757,Minnesota,Brown County,Gloria La Riva,PSL,6,Joe Biden
10758,Minnesota,Brown County,Alyson Kennedy,SWP,3,Joe Biden
10759,Minnesota,Carlton County,Joe Biden,DEM,10094,Joe Biden
10760,Minnesota,Carlton County,Donald Trump,REP,9787,Joe Biden
10761,Minnesota,Carlton County,Jo Jorgensen,LIB,231,Joe Biden
10762,Minnesota,Carlton County,Howie Hawkins,GRN,61,Joe Biden
10763,Minnesota,Carlton County, Write-ins,WRI,49,Joe Biden
10764,Minnesota,Carlton County,Rocky De La Fuente,ALI,48,Joe Biden
10765,Minnesota,Carlton County,Kanye West,IND,43,Joe Biden
10766,Minnesota,Carlton County,Brock Pierce,IND,40,Joe Biden
10767,Minnesota,Carlton County,Alyson Kennedy,SWP,4,Joe Biden
10768,Minnesota,Carlton County,Gloria La Riva,PSL,4,Joe Biden
10769,Minnesota,Carver County,Donald Trump,REP,34006,Joe Biden
10770,Minnesota,Carver County,Joe Biden,DEM,30761,Joe Biden
10771,Minnesota,Carver County,Jo Jorgensen,LIB,821,Joe Biden
10772,Minnesota,Carver County,Howie Hawkins,GRN,141,Joe Biden
10773,Minnesota,Carver County,Kanye West,IND,126,Joe Biden
10774,Minnesota,Carver County,Rocky De La Fuente,ALI,124,Joe Biden
10775,Minnesota,Carver County,Brock Pierce,IND,107,Joe Biden
10776,Minnesota,Carver County,Gloria La Riva,PSL,13,Joe Biden
10777,Minnesota,Carver County,Alyson Kennedy,SWP,5,Joe Biden
10778,Minnesota,Cass County,Donald Trump,REP,11619,Joe Biden
10779,Minnesota,Cass County,Joe Biden,DEM,6339,Joe Biden
10780,Minnesota,Cass County,Jo Jorgensen,LIB,111,Joe Biden
10781,Minnesota,Cass County,Howie Hawkins,GRN,60,Joe Biden
10782,Minnesota,Cass County,Kanye West,IND,46,Joe Biden
10783,Minnesota,Cass County,Rocky De La Fuente,ALI,34,Joe Biden
10784,Minnesota,Cass County,Brock Pierce,IND,27,Joe Biden
10785,Minnesota,Cass County,Gloria La Riva,PSL,12,Joe Biden
10786,Minnesota,Cass County,Alyson Kennedy,SWP,3,Joe Biden
10787,Minnesota,Chippewa County,Donald Trump,REP,4250,Joe Biden
10788,Minnesota,Chippewa County,Joe Biden,DEM,2226,Joe Biden
10789,Minnesota,Chippewa County,Jo Jorgensen,LIB,58,Joe Biden
10790,Minnesota,Chippewa County,Kanye West,IND,22,Joe Biden
10791,Minnesota,Chippewa County,Brock Pierce,IND,21,Joe Biden
10792,Minnesota,Chippewa County,Howie Hawkins,GRN,12,Joe Biden
10793,Minnesota,Chippewa County, Write-ins,WRI,12,Joe Biden
10794,Minnesota,Chippewa County,Rocky De La Fuente,ALI,8,Joe Biden
10795,Minnesota,Chippewa County,Alyson Kennedy,SWP,2,Joe Biden
10796,Minnesota,Chippewa County,Gloria La Riva,PSL,0,Joe Biden
10797,Minnesota,Chisago County,Donald Trump,REP,21909,Joe Biden
10798,Minnesota,Chisago County,Joe Biden,DEM,11798,Joe Biden
