,State,County,Votes_Left,Votes_Right,total_shootings,shootings_normalized
1231,Maine,Phippsburg,745,794,0,0
1232,Maine,Richmond,1056,934,0,0
1233,Maine,Topsham,2390,3944,0,0
1234,Maine,West Bath,629,737,0,0
1235,Maine,Woolwich,1062,1038,0,0
1236,Maine,Anson,796,398,0,0
1237,Maine,Athens,332,167,0,0
1238,Maine,Bingham,349,215,0,0
1239,Maine,Brighton Plt.,0,0,0,0
1240,Maine,Cambridge,0,0,0,0
1241,Maine,Canaan,749,384,0,0
1242,Maine,Caratunk,0,0,0,0
1243,Maine,Cornville,471,283,0,0
1244,Maine,Dennistown Plt.,0,0,0,0
1245,Maine,Detroit,276,151,0,0
1246,Maine,Embden,375,181,0,0
1247,Maine,Fairfield,1843,1428,0,0
1248,Maine,Harmony,0,0,0,0
1249,Maine,Hartland,610,266,0,0
1250,Maine,Highland Plt.,71,42,0,0
1251,Maine,Jackman,0,0,0,0
1252,Maine,Madison,1411,928,0,0
1253,Maine,Mercer,0,0,0,0
1254,Maine,Moose River,0,0,0,0
1255,Maine,Moscow,194,74,0,0
1256,Maine,New Portland,0,0,0,0
1257,Maine,Norridgewock,1128,687,0,0
1258,Maine,Palmyra,800,325,0,0
1259,Maine,Pittsfield,1156,817,0,0
1260,Maine,Pleasant Ridge Plt.,0,0,0,0
1261,Maine,Ripley,195,100,0,0
1262,Maine,St. Albans,0,0,0,0
1263,Maine,Skowhegan,2215,1876,0,0
1264,Maine,Smithfield,342,269,0,0
1265,Maine,Solon,365,243,0,0
1266,Maine,Starks,237,137,0,0
1267,Maine,The Forks Plt.,0,0,0,0
1268,Maine,West Forks Plt.,0,0,0,0
1269,Maine,Belfast,1259,2847,0,0
1270,Maine,Belmont,319,259,0,0
1271,Maine,Brooks,317,246,0,0
1272,Maine,Burnham,389,234,0,0
1273,Maine,Frankfort,441,220,0,0
1274,Maine,Freedom,236,201,0,0
1275,Maine,Islesboro,120,309,0,0
1276,Maine,Jackson,191,134,0,0
1277,Maine,Knox,540,415,0,0
1278,Maine,Liberty,308,265,0,0
1279,Maine,Lincolnville,548,1059,0,0
1280,Maine,Monroe,266,308,0,0
1281,Maine,Montville,266,346,0,0
1282,Maine,Morrill,355,242,0,0
1283,Maine,Northport,408,670,0,0
1284,Maine,Palermo,537,381,0,0
1285,Maine,Prospect,242,170,0,0
1286,Maine,Searsmont,481,430,0,0
1287,Maine,Searsport,721,843,0,0
1288,Maine,Stockton Springs,508,529,0,0
1289,Maine,Swanville,454,339,0,0
1290,Maine,Thorndike,0,0,0,0
1291,Maine,Troy,0,0,0,0
1292,Maine,Waldo,340,233,0,0
1293,Maine,Winterport,1238,1032,0,0
1294,Maine,Addison,451,235,0,0
1295,Maine,Alexander,224,73,0,0
1296,Maine,Baileyville,421,239,0,0
1297,Maine,Baring Plt.,0,0,0,0
1298,Maine,Beals,0,0,0,0
1299,Maine,Beddington,0,0,0,0
1300,Maine,Calais,856,626,0,0
1301,Maine,Charlotte,0,0,0,0
1302,Maine,Cherryfield,417,212,0,0
1303,Maine,Columbia,0,0,0,0
1304,Maine,Columbia Falls,204,119,0,0
1305,Maine,Cooper,62,35,0,0
1306,Maine,Crawford,0,0,0,0
1307,Maine,Cutler,0,0,0,0
1308,Maine,Danforth,0,0,0,0
1309,Maine,Deblois,0,0,0,0
1310,Maine,Dennysville,0,0,0,0
1311,Maine,East Machias,528,270,0,0
1312,Maine,Eastport,339,474,0,0
1313,Maine,Grand Lake Stream Plt,60,37,0,0
1314,Maine,Harrington,0,0,0,0
1315,Maine,Jonesboro,0,0,0,0
1316,Maine,Jonesport,0,0,0,0
1317,Maine,Lubec,406,457,0,0
1318,Maine,Machias,461,395,0,0
1319,Maine,Machiasport,336,216,0,0
1320,Maine,Marshfield,208,102,0,0
1321,Maine,Meddybemps,0,0,0,0
1322,Maine,Milbridge,391,326,0,0
1323,Maine,Northfield,81,38,0,0
1324,Maine,Pembroke,0,0,0,0
1325,Maine,Perry,0,0,0,0
1326,Maine,Princeton,340,118,0,0
1327,Maine,Robbinston,0,0,0,0
1328,Maine,Roque Bluffs,0,0,0,0
1329,Maine,Steuben,409,245,0,0
1330,Maine,Talmadge,0,0,0,0
1331,Maine,Topsfield,100,24,0,0
1332,Maine,Vanceboro,0,0,0,0
1333,Maine,Waite,0,0,0,0
1334,Maine,Wesley,0,0,0,0
1335,Maine,Whiting,0,0,0,0
1336,Maine,Whitneyville,0,0,0,0
1337,Maine,Acton,930,651,0,0
1338,Maine,Alfred,948,983,0,0
1339,Maine,Arundel,1347,1405,0,0
1340,Maine,Berwick,1519,3186,0,0
1341,Maine,Biddeford,3703,7019,0,0
1342,Maine,Buxton,2686,2416,0,0
1343,Maine,Cornish,478,429,0,0
1344,Maine,Dayton,756,582,0,0
1345,Maine,Eliot,1788,2839,0,0
1346,Maine,Hollis,1535,1268,0,0
1347,Maine,Kennebunk,2682,5368,0,0
1348,Maine,Kennebunkport,926,1777,0,0
1349,Maine,Kittery,1809,4418,0,0
1350,Maine,Lebanon,2178,1232,0,0
1351,Maine,Limerick,948,813,0,0
1352,Maine,Limington,1357,856,0,0
1353,Maine,Lyman,1537,1315,0,0
1354,Maine,Newfield,575,362,0,0
1355,Maine,North Berwick,1557,1465,0,0
1356,Maine,Ogunquit,311,731,0,0
1357,Maine,Old Orchrd Bch,2368,3708,0,0
1358,Maine,Parsonsfield,564,469,0,0
1359,Maine,Saco,4497,7794,0,0
1360,Maine,Sanford,5176,5382,0,0
1361,Maine,Shapleigh,1034,704,0,0
1362,Maine,South Berwick,1734,2748,0,0
1363,Maine,Waterboro,2471,1861,0,0
1364,Maine,Wells,3333,4465,0,0
1365,Maine,York,3352,6117,0,0
1366,Maryland,Allegany County,19939,8050,0,0
1367,Maryland,Anne Arundel County,110684,133998,0,0
1368,Maryland,Baltimore County,119305,177865,0,0
1369,Maryland,Calvert County,24786,21814,0,0
1370,Maryland,Caroline County,9237,3572,0,0
1371,Maryland,Carroll County,54176,29135,0,0
1372,Maryland,Cecil County,26880,13567,0,0
1373,Maryland,Charles County,20289,35937,0,0
1374,Maryland,Dorchester County,7804,5295,0,0
1375,Maryland,Frederick County,57314,64016,0,0
1376,Maryland,Garrett County,11654,3098,0,0
1377,Maryland,Harford County,69468,43381,0,0
1378,Maryland,Howard County,46442,122060,0,0
1379,Maryland,Kent County,4707,4830,0,0
1380,Maryland,Montgomery County,72888,265188,0,0
1381,Maryland,Prince George's County,31904,317102,0,0
1382,Maryland,Queen Anne's County,18179,10209,0,0
1383,Maryland,St. Mary's County,30245,22511,0,0
1384,Maryland,Somerset County,5405,3542,0,0
1385,Maryland,Talbot County,10524,10408,0,0
1386,Maryland,Washington County,38232,23448,0,0
1387,Maryland,Wicomico County,21878,20150,0,0
1388,Maryland,Worcester County,15386,7898,0,0
1389,Maryland,Baltimore city,20677,165350,0,0
1390,Massachusetts,Barnstable,10824,15685,0,0
1391,Massachusetts,Bourne,5026,5988,0,0
1392,Massachusetts,Brewster,2334,4905,0,0
1393,Massachusetts,Chatham,1827,3043,0,0
1394,Massachusetts,Dennis,3934,6179,0,0
1395,Massachusetts,Eastham,1146,2840,0,0
1396,Massachusetts,Falmouth,7282,13911,0,0
1397,Massachusetts,Harwich,3363,5761,0,0
1398,Massachusetts,Mashpee,4078,5977,0,0
1399,Massachusetts,Orleans,1444,3227,0,0
1400,Massachusetts,Provincetown,181,2399,0,0
1401,Massachusetts,Sandwich,5922,7519,0,0
1402,Massachusetts,Truro,339,1386,0,0
1403,Massachusetts,Wellfleet,478,1887,0,0
1404,Massachusetts,Yarmouth,5954,9025,0,0
1405,Massachusetts,Adams,0,0,0,0
1406,Massachusetts,Alford,50,271,0,0
1407,Massachusetts,Becket,0,0,0,0
1408,Massachusetts,Cheshire,775,1121,0,0
1409,Massachusetts,Clarksburg,0,0,0,0
1410,Massachusetts,Dalton,0,0,0,0
1411,Massachusetts,Egremont,0,0,0,0
1412,Massachusetts,Florida,0,0,0,0
1413,Massachusetts,Great Barrington,654,3364,0,0
1414,Massachusetts,Hancock,207,257,0,0
1415,Massachusetts,Hinsdale,402,771,0,0
1416,Massachusetts,Lanesborough,602,1230,0,0
1417,Massachusetts,Lee,977,2404,0,0
1418,Massachusetts,Lenox,0,0,0,0
1419,Massachusetts,Monterey,102,481,0,0
1420,Massachusetts,Mount Washington,16,101,0,0
1421,Massachusetts,New Ashford,0,0,0,0
1422,Massachusetts,New Marlborough,264,677,0,0
1423,Massachusetts,North Adams,1571,4174,0,0
1424,Massachusetts,Otis,438,550,0,0
1425,Massachusetts,Peru,216,299,0,0
1426,Massachusetts,Pittsfield,4966,16158,0,0
1427,Massachusetts,Richmond,215,827,0,0
1428,Massachusetts,Sandisfield,200,305,0,0
1429,Massachusetts,Savoy,161,226,0,0
1430,Massachusetts,Sheffield,578,1541,0,0
1431,Massachusetts,Stockbridge,237,1098,0,0
1432,Massachusetts,Tyringham,72,233,0,0
1433,Massachusetts,Washington,287,510,0,0
1434,Massachusetts,West Stockbridge,164,784,0,0
1435,Massachusetts,Williamstown,487,3088,0,0
1436,Massachusetts,Windsor,200,269,0,0
1437,Massachusetts,Acushnet,3193,2550,0,0
1438,Massachusetts,Attleboro,9127,13408,0,0
1439,Massachusetts,Berkley,2244,1744,0,0
1440,Massachusetts,Dartmouth,7567,9456,0,0
1441,Massachusetts,Dighton,2473,2139,0,0
1442,Massachusetts,Easton,5337,8440,0,0
1443,Massachusetts,Fairhaven,4229,5028,0,0
1444,Massachusetts,Fall River,13409,17379,0,0
1445,Massachusetts,Freetown,2862,2446,0,0
1446,Massachusetts,Mansfield,5145,9012,0,0
1447,Massachusetts,New Bedford,12781,20805,0,0
1448,Massachusetts,North Attleborough,6764,8943,0,0
1449,Massachusetts,Norton,4551,5602,0,0
1450,Massachusetts,Raynham,4233,4348,0,0
1451,Massachusetts,Rehoboth,4026,3590,0,0
1452,Massachusetts,Seekonk,3957,4769,0,0
1453,Massachusetts,Somerset,5108,5811,0,0
1454,Massachusetts,Swansea,5116,4734,0,0
1455,Massachusetts,Taunton,11016,14704,0,0
1456,Massachusetts,Westport,4947,5155,0,0
1457,Massachusetts,Aquinnah,34,311,0,0
1458,Massachusetts,Chilmark,110,795,0,0
1459,Massachusetts,Edgartown,850,2181,0,0
1460,Massachusetts,Gosnold,0,0,0,0
1461,Massachusetts,Oak Bluffs,728,2401,0,0
1462,Massachusetts,Tisbury,527,2156,0,0
1463,Massachusetts,West Tisbury,338,1918,0,0
1464,Massachusetts,Amesbury,3284,6692,0,0
1465,Massachusetts,Andover,6395,13430,0,0
1466,Massachusetts,Beverly,7057,16380,0,0
1467,Massachusetts,Boxford,2235,3056,0,0
1468,Massachusetts,Danvers,6662,9698,0,0
1469,Massachusetts,Essex,790,1629,0,0
1470,Massachusetts,Georgetown,2357,3002,0,0
1471,Massachusetts,Gloucester,5308,11572,0,0
1472,Massachusetts,Groveland,1961,2391,0,0
1473,Massachusetts,Hamilton,1432,3289,0,0
1474,Massachusetts,Haverhill,12410,18658,0,0
1475,Massachusetts,Ipswich,3101,6189,0,0
1476,Massachusetts,Lawrence,5776,16854,0,0
1477,Massachusetts,Lynn,10191,24123,0,0
1478,Massachusetts,Lynnfield,3949,4162,0,0
1479,Massachusetts,Manchester,1007,2645,0,0
1480,Massachusetts,Marblehead,3777,10089,0,0
1481,Massachusetts,Merrimac,0,0,0,0
1482,Massachusetts,Methuen,10945,14103,0,0
1483,Massachusetts,Middleton,2936,2717,0,0
1484,Massachusetts,Nahant,838,1599,0,0
1485,Massachusetts,Newbury,1749,3112,0,0
1486,Massachusetts,Newburyport,3241,9097,0,0
1487,Massachusetts,North Andover,6531,11004,0,0
1488,Massachusetts,Peabody,12688,16826,0,0
1489,Massachusetts,Rockport,1307,3859,0,0
1490,Massachusetts,Rowley,1936,2176,0,0
1491,Massachusetts,Salem,5382,17786,0,0
1492,Massachusetts,Salisbury,2587,2830,0,0
1493,Massachusetts,Saugus,7349,7722,0,0
1494,Massachusetts,Swampscott,2540,6816,0,0
1495,Massachusetts,Topsfield,1600,2457,0,0
1496,Massachusetts,Wenham,763,1757,0,0
1497,Massachusetts,West Newbury,1051,2072,0,0
1498,Massachusetts,Ashfield,180,993,0,0
1499,Massachusetts,Bernardston,422,915,0,0
1500,Massachusetts,Buckland,268,887,0,0
1501,Massachusetts,Charlemont,235,492,0,0
1502,Massachusetts,Colrain,306,667,0,0
1503,Massachusetts,Conway,278,989,0,0
1504,Massachusetts,Deerfield,834,2421,0,0
1505,Massachusetts,Erving,0,0,0,0
1506,Massachusetts,Gill,278,670,0,0
1507,Massachusetts,Greenfield,0,0,0,0
1508,Massachusetts,Hawley,70,155,0,0
1509,Massachusetts,Heath,0,0,0,0
1510,Massachusetts,Leverett,155,1140,0,0
1511,Massachusetts,Leyden,155,330,0,0
1512,Massachusetts,Monroe,0,0,0,0
1513,Massachusetts,Montague,1200,3468,0,0
1514,Massachusetts,New Salem,237,418,0,0
1515,Massachusetts,Northfield,592,1211,0,0
1516,Massachusetts,Orange,0,0,0,0
1517,Massachusetts,Rowe,113,152,0,0
1518,Massachusetts,Shelburne,0,0,0,0
1519,Massachusetts,Shutesbury,144,1153,0,0
1520,Massachusetts,Sunderland,0,0,0,0
1521,Massachusetts,Warwick,0,0,0,0
1522,Massachusetts,Wendell,0,0,0,0
1523,Massachusetts,Whately,331,744,0,0
1524,Massachusetts,Agawam,8021,7725,0,0
1525,Massachusetts,Blandford,0,0,0,0
1526,Massachusetts,Brimfield,0,0,0,0
1527,Massachusetts,Chester,0,0,0,0
1528,Massachusetts,Chicopee,10622,14452,0,0
1529,Massachusetts,East Longmeadow,4612,5260,0,0
1530,Massachusetts,Granville,565,402,0,0
1531,Massachusetts,Hampden,1709,1532,0,0
1532,Massachusetts,Holland,783,690,0,0
1533,Massachusetts,Holyoke,4804,11013,0,0
1534,Massachusetts,Longmeadow,3438,6599,0,0
1535,Massachusetts,Ludlow,5660,5419,0,0
1536,Massachusetts,Monson,2584,2440,0,0
1537,Massachusetts,Montgomery,0,0,0,0
1538,Massachusetts,Palmer,3240,3105,0,0
1539,Massachusetts,Russell,0,0,0,0
1540,Massachusetts,Southwick,3221,2359,0,0
1541,Massachusetts,Springfield,13896,38849,0,0
1542,Massachusetts,Tolland,186,136,0,0
1543,Massachusetts,Wales,617,430,0,0
1544,Massachusetts,Westfield,9695,9986,0,0
1545,Massachusetts,West Springfield,5916,6985,0,0
1546,Massachusetts,Wilbraham,4247,4920,0,0
1547,Massachusetts,Amherst,849,10234,0,0
1548,Massachusetts,Belchertown,3379,5728,0,0
1549,Massachusetts,Chesterfield,287,510,0,0
1550,Massachusetts,Cummington,159,412,0,0
1551,Massachusetts,Easthampton,2504,7733,0,0
1552,Massachusetts,Goshen,231,418,0,0
1553,Massachusetts,Granby,1802,2039,0,0
1554,Massachusetts,Hadley,918,2445,0,0
1555,Massachusetts,Hatfield,683,1552,0,0
1556,Massachusetts,Huntington,0,0,0,0
1557,Massachusetts,Middlefield,0,0,0,0
1558,Massachusetts,Northampton,1837,15219,0,0
1559,Massachusetts,Pelham,88,818,0,0
1560,Massachusetts,Plainfield,116,316,0,0
1561,Massachusetts,Southampton,1811,2231,0,0
1562,Massachusetts,South Hadley,3223,6587,0,0
1563,Massachusetts,Ware,2440,2340,0,0
1564,Massachusetts,Westhampton,272,678,0,0
1565,Massachusetts,Williamsburg,337,1445,0,0
1566,Massachusetts,Worthington,0,0,0,0
1567,Massachusetts,Acton,2399,10793,0,0
1568,Massachusetts,Arlington,4313,23024,0,0
1569,Massachusetts,Ashby,1009,956,0,0
1570,Massachusetts,Ashland,2926,7254,0,0
1571,Massachusetts,Ayer,1534,2924,0,0
1572,Massachusetts,Bedford,2183,6065,0,0
1573,Massachusetts,Belmont,2920,11605,0,0
1574,Massachusetts,Billerica,10532,12917,0,0
1575,Massachusetts,Boxborough,784,2516,0,0
1576,Massachusetts,Burlington,5510,9314,0,0
1577,Massachusetts,Cambridge,3248,45426,0,0
1578,Massachusetts,Carlisle,759,2746,0,0
1579,Massachusetts,Chelmsford,7680,13635,0,0
1580,Massachusetts,Concord,1972,10002,0,0
1581,Massachusetts,Dracut,8692,8582,0,0
1582,Massachusetts,Dunstable,868,1224,0,0
1583,Massachusetts,Everett,4022,10343,0,0
1584,Massachusetts,Framingham,7705,23613,0,0
1585,Massachusetts,Groton,2108,4819,0,0
1586,Massachusetts,Holliston,2543,6672,0,0
1587,Massachusetts,Hopkinton,2936,6976,0,0
1588,Massachusetts,Hudson,3850,7409,0,0
1589,Massachusetts,Lexington,3298,16138,0,0
1590,Massachusetts,Lincoln,661,3374,0,0
1591,Massachusetts,Littleton,1977,4474,0,0
1592,Massachusetts,Lowell,12054,24492,0,0
1593,Massachusetts,Malden,5904,18417,0,0
1594,Massachusetts,Marlborough,5827,12332,0,0
1595,Massachusetts,Maynard,1651,4851,0,0
1596,Massachusetts,Medford,7412,22717,0,0
1597,Massachusetts,Melrose,4508,12847,0,0
1598,Massachusetts,Natick,4890,15972,0,0
1599,Massachusetts,Newton,8165,39428,0,0
1600,Massachusetts,North Reading,4073,5501,0,0
1601,Massachusetts,Pepperell,3170,3809,0,0
1602,Massachusetts,Reading,5301,10791,0,0
1603,Massachusetts,Sherborn,557,2206,0,0
1604,Massachusetts,Shirley,1493,2099,0,0
1605,Massachusetts,Somerville,4150,35392,0,0
1606,Massachusetts,Stoneham,5348,8607,0,0
1607,Massachusetts,Stow,1258,3544,0,0
1608,Massachusetts,Sudbury,2611,9075,0,0
1609,Massachusetts,Tewksbury,8631,9709,0,0
1610,Massachusetts,Townsend,2601,2663,0,0
1611,Massachusetts,Tyngsborough,3364,4028,0,0
1612,Massachusetts,Wakefield,6019,10170,0,0
1613,Massachusetts,Waltham,7624,19847,0,0
1614,Massachusetts,Watertown,3795,14855,0,0
1615,Massachusetts,Wayland,1681,7191,0,0
1616,Massachusetts,Westford,4618,10078,0,0
1617,Massachusetts,Weston,1703,5049,0,0
1618,Massachusetts,Wilmington,6394,7950,0,0
1619,Massachusetts,Winchester,3679,9445,0,0
1620,Massachusetts,Woburn,8464,13504,0,0
1621,Massachusetts,Nantucket,1912,5234,0,0
1622,Massachusetts,Avon,1030,1599,0,0
1623,Massachusetts,Bellingham,4383,5165,0,0
1624,Massachusetts,Braintree,8680,12464,0,0
1625,Massachusetts,Brookline,3322,26046,0,0
1626,Massachusetts,Canton,4953,9147,0,0
1627,Massachusetts,Cohasset,1662,3835,0,0
1628,Massachusetts,Dedham,4743,10658,0,0
1629,Massachusetts,Dover,1140,2759,0,0
1630,Massachusetts,Foxborough,4287,6583,0,0
1631,Massachusetts,Franklin,7073,12053,0,0
1632,Massachusetts,Holbrook,0,0,0,0
1633,Massachusetts,Medfield,2374,5668,0,0
1634,Massachusetts,Medway,3000,5149,0,0
1635,Massachusetts,Millis,1985,3464,0,0
1636,Massachusetts,Milton,4348,12497,0,0
1637,Massachusetts,Needham,4071,15538,0,0
1638,Massachusetts,Norfolk,2548,4037,0,0
1639,Massachusetts,Norwood,5721,10941,0,0
1640,Massachusetts,Plainville,2445,3154,0,0
1641,Massachusetts,Quincy,14224,29956,0,0
1642,Massachusetts,Randolph,3513,13586,0,0
1643,Massachusetts,Sharon,2530,8530,0,0
1644,Massachusetts,Stoughton,0,0,0,0
1645,Massachusetts,Walpole,6125,9237,0,0
1646,Massachusetts,Wellesley,3264,12295,0,0
1647,Massachusetts,Westwood,3430,6812,0,0
1648,Massachusetts,Weymouth,12293,19254,0,0
1649,Massachusetts,Wrentham,3313,4220,0,0
1650,Massachusetts,Abington,4188,5127,0,0
1651,Massachusetts,Bridgewater,6467,7507,0,0
1652,Massachusetts,Brockton,0,0,0,0
1653,Massachusetts,Carver,3503,3265,0,0
1654,Massachusetts,Duxbury,3986,6758,0,0
1655,Massachusetts,East Bridgewater,4311,4096,0,0
1656,Massachusetts,Halifax,2385,2329,0,0
1657,Massachusetts,Hanover,4479,4859,0,0
1658,Massachusetts,Hanson,3312,3240,0,0
1659,Massachusetts,Hingham,4848,10403,0,0
1660,Massachusetts,Hull,2405,4446,0,0
1661,Massachusetts,Kingston,3690,4412,0,0
1662,Massachusetts,Lakeville,3778,3326,0,0
1663,Massachusetts,Marion,1244,2367,0,0
1664,Massachusetts,Marshfield,7377,9473,0,0
1665,Massachusetts,Mattapoisett,1884,2712,0,0
1666,Massachusetts,Middleborough,7022,6155,0,0
1667,Massachusetts,Norwell,2910,4262,0,0
1668,Massachusetts,Pembroke,5304,6118,0,0
1669,Massachusetts,Plymouth,14936,20780,0,0
1670,Massachusetts,Plympton,912,962,0,0
1671,Massachusetts,Rochester,1987,1757,0,0
1672,Massachusetts,Rockland,4237,5279,0,0
1673,Massachusetts,Scituate,4611,8595,0,0
1674,Massachusetts,Wareham,5427,6733,0,0
1675,Massachusetts,West Bridgewater,2270,2217,0,0
1676,Massachusetts,Whitman,3875,4487,0,0
1677,Massachusetts,Boston,42707,225368,0,0
1678,Massachusetts,Chelsea,2146,7953,0,0
1679,Massachusetts,Revere,7181,13283,0,0
1680,Massachusetts,Winthrop,3665,6057,0,0
1681,Massachusetts,Ashburnham,1643,1982,0,0
1682,Massachusetts,Athol,2552,2653,0,0
1683,Massachusetts,Auburn,4260,5547,0,0
1684,Massachusetts,Barre,1524,1528,0,0
1685,Massachusetts,Berlin,815,1366,0,0
1686,Massachusetts,Blackstone,2485,2381,0,0
1687,Massachusetts,Bolton,1124,2484,0,0
1688,Massachusetts,Boylston,1314,1876,0,0
1689,Massachusetts,Brookfield,1054,944,0,0
1690,Massachusetts,Charlton,4339,3749,0,0
1691,Massachusetts,Clinton,2876,4661,0,0
1692,Massachusetts,Douglas,2918,2412,0,0
1693,Massachusetts,Dudley,3155,2716,0,0
1694,Massachusetts,East Brookfield,740,592,0,0
1695,Massachusetts,Fitchburg,5820,8837,0,0
1696,Massachusetts,Gardner,3881,5075,0,0
1697,Massachusetts,Grafton,3958,6977,0,0
1698,Massachusetts,Hardwick,732,746,0,0
1699,Massachusetts,Harvard,945,3005,0,0
1700,Massachusetts,Holden,4895,7133,0,0
1701,Massachusetts,Hopedale,1364,2235,0,0
1702,Massachusetts,Hubbardston,1441,1387,0,0
1703,Massachusetts,Lancaster,1737,2381,0,0
1704,Massachusetts,Leicester,3145,3099,0,0
1705,Massachusetts,Leominster,8447,12084,0,0
1706,Massachusetts,Lunenburg,2878,3911,0,0
1707,Massachusetts,Mendon,1767,2041,0,0
1708,Massachusetts,Milford,5535,8691,0,0
1709,Massachusetts,Millbury,3685,4117,0,0
1710,Massachusetts,Millville,975,820,0,0
1711,Massachusetts,New Braintree,336,319,0,0
1712,Massachusetts,Northborough,2835,6273,0,0
1713,Massachusetts,Northbridge,4195,4655,0,0
1714,Massachusetts,North Brookfield,1459,1176,0,0
1715,Massachusetts,Oakham,663,553,0,0
1716,Massachusetts,Oxford,3761,3573,0,0
1717,Massachusetts,Paxton,1259,1612,0,0
1718,Massachusetts,Petersham,0,0,0,0
1719,Massachusetts,Phillipston,607,484,0,0
1720,Massachusetts,Princeton,969,1514,0,0
1721,Massachusetts,Royalston,357,404,0,0
1722,Massachusetts,Rutland,2661,2800,0,0
1723,Massachusetts,Shrewsbury,7004,13325,0,0
1724,Massachusetts,Southborough,1779,4477,0,0
1725,Massachusetts,Southbridge,3022,4074,0,0
1726,Massachusetts,Spencer,3290,3005,0,0
1727,Massachusetts,Sterling,0,0,0,0
1728,Massachusetts,Sturbridge,2474,3387,0,0
1729,Massachusetts,Sutton,3041,3042,0,0
1730,Massachusetts,Templeton,2287,2060,0,0
1731,Massachusetts,Upton,1956,3099,0,0
1732,Massachusetts,Uxbridge,4090,4347,0,0
1733,Massachusetts,Warren,1374,1146,0,0
1734,Massachusetts,Webster,4002,4003,0,0
1735,Massachusetts,Westborough,2756,7490,0,0
1736,Massachusetts,West Boylston,1842,2742,0,0
1737,Massachusetts,West Brookfield,1127,1137,0,0
1738,Massachusetts,Westminster,2388,2556,0,0
1739,Massachusetts,Winchendon,2657,2310,0,0
1740,Massachusetts,Worcester,21018,48030,0,0
1741,Michigan,Alcona County,4848,2142,0,0
1742,Michigan,Alger County,3014,2053,0,0
1743,Michigan,Allegan County,41381,24447,0,0
1744,Michigan,Alpena County,10686,6000,0,0
1745,Michigan,Antrim County,9783,7289,0,0
1746,Michigan,Arenac County,5928,2773,0,0
1747,Michigan,Baraga County,2512,1475,0,0
1748,Michigan,Barry County,23473,11804,0,0
1749,Michigan,Bay County,30919,21718,0,0
1750,Michigan,Benzie County,6600,5480,0,0
1751,Michigan,Berrien County,43518,37438,0,0
1752,Michigan,Branch County,14066,6161,0,0
1753,Michigan,Calhoun County,35900,28417,0,0
1754,Michigan,Cass County,16686,9122,0,0
1755,Michigan,Charlevoix County,9841,6939,0,0
1756,Michigan,Cheboygan County,10171,5435,0,0
1757,Michigan,Chippewa County,10682,6651,0,0
1758,Michigan,Clare County,10860,5200,0,0
1759,Michigan,Clinton County,25095,21963,0,0
1760,Michigan,Crawford County,4955,2612,0,0
1761,Michigan,Delta County,13206,7605,0,0
1762,Michigan,Dickinson County,8469,4569,0,0
1763,Michigan,Eaton County,31797,31297,0,0
1764,Michigan,Emmet County,12135,9662,0,0
1765,Michigan,Genesee County,99199,120082,0,0
1766,Michigan,Gladwin County,9893,4524,0,0
1767,Michigan,Gogebic County,4600,3573,0,0
1768,Michigan,Grand Traverse County,30502,28682,0,0
1769,Michigan,Gratiot County,12102,6693,0,0
1770,Michigan,Hillsdale County,17037,5883,0,0
1771,Michigan,Houghton County,10380,7755,0,0
1772,Michigan,Huron County,11949,5349,0,0
1773,Michigan,Ingham County,47640,94221,0,0
1774,Michigan,Ionia County,20655,10899,0,0
1775,Michigan,Iosco County,9760,5371,0,0
1776,Michigan,Iron County,4216,2493,0,0
1777,Michigan,Isabella County,14815,14072,0,0
1778,Michigan,Jackson County,47381,32004,0,0
1779,Michigan,Kalamazoo County,56823,83674,0,0
1780,Michigan,Kalkaska County,7436,3003,0,0
1781,Michigan,Kent County,165318,186753,0,0
1782,Michigan,Keweenaw County,862,672,0,0
1783,Michigan,Lake County,3946,2288,0,0
1784,Michigan,Lapeer County,35480,16368,0,0
1785,Michigan,Leelanau County,7915,8793,0,0
1786,Michigan,Lenawee County,31539,20916,0,0
1787,Michigan,Livingston County,76980,48218,0,0
1788,Michigan,Luce County,2109,842,0,0
1789,Michigan,Mackinac County,4258,2589,0,0
1790,Michigan,Macomb County,264535,225561,0,0
1791,Michigan,Manistee County,8321,6107,0,0
1792,Michigan,Marquette County,16288,20465,0,0
1793,Michigan,Mason County,10207,6802,0,0
1794,Michigan,Mecosta County,13265,7373,0,0
1795,Michigan,Menominee County,8120,4314,0,0
1796,Michigan,Midland County,27706,20513,0,0
1797,Michigan,Missaukee County,6648,1967,0,0
1798,Michigan,Monroe County,52710,32975,0,0
1799,Michigan,Montcalm County,21815,9703,0,0
1800,Michigan,Montmorency County,4171,1628,0,0
1801,Michigan,Muskegon County,44544,45508,0,0
1802,Michigan,Newaygo County,18864,7874,0,0
1803,Michigan,Oakland County,328313,438147,0,0
1804,Michigan,Oceana County,8892,4944,0,0
1805,Michigan,Ogemaw County,8253,3475,0,0
1806,Michigan,Ontonagon County,2358,1391,0,0
1807,Michigan,Osceola County,8928,3214,0,0
1808,Michigan,Oscoda County,3466,1342,0,0
1809,Michigan,Otsego County,9779,4743,0,0
1810,Michigan,Ottawa County,100511,64566,0,0
1811,Michigan,Presque Isle County,5343,2912,0,0
1812,Michigan,Roscommon County,9670,5166,0,0
1813,Michigan,Saginaw County,50785,51088,0,0
1814,Michigan,St. Clair County,59185,31363,0,0
