,State,County,Votes_Left,Votes_Right,total_shootings,shootings_normalized
140,Georgia,Glynn County,25581,15857,0,0
141,Georgia,Gordon County,19405,4384,0,0
142,Georgia,Grady County,7027,3608,0,0
143,Georgia,Greene County,7068,4088,0,0
144,Georgia,Gwinnett County,166016,241140,0,0
145,Georgia,Habersham County,16616,3559,0,0
146,Georgia,Hall County,64105,25002,0,0
147,Georgia,Hancock County,1159,2985,0,0
148,Georgia,Haralson County,12326,1792,0,0
149,Georgia,Harris County,14319,5457,0,0
150,Georgia,Hart County,9464,3157,0,0
151,Georgia,Heard County,4515,823,0,0
152,Georgia,Henry County,48187,73276,0,0
153,Georgia,Houston County,41468,32149,0,0
154,Georgia,Irwin County,3134,1008,0,0
155,Georgia,Jackson County,29497,7642,0,0
156,Georgia,Jasper County,5822,1761,0,0
157,Georgia,Jeff Davis County,4695,1028,0,0
158,Georgia,Jefferson County,3537,4061,0,0
159,Georgia,Jenkins County,2161,1266,0,0
160,Georgia,Johnson County,2850,1222,0,0
161,Georgia,Jones County,9965,4888,0,0
162,Georgia,Lamar County,6322,2612,0,0
163,Georgia,Lanier County,2509,1019,0,0
164,Georgia,Laurens County,14479,8048,0,0
165,Georgia,Lee County,11998,4556,0,0
166,Georgia,Liberty County,7944,13051,0,0
167,Georgia,Lincoln County,3175,1432,0,0
168,Georgia,Long County,3528,2033,0,0
169,Georgia,Lowndes County,25520,19832,0,0
170,Georgia,Lumpkin County,12160,3122,0,0
171,Georgia,McDuffie County,6169,4168,0,0
172,Georgia,McIntosh County,4016,2612,0,0
173,Georgia,Macon County,1783,2857,0,0
174,Georgia,Madison County,11146,3365,0,0
175,Georgia,Marion County,2275,1311,0,0
176,Georgia,Meriwether County,6524,4287,0,0
177,Georgia,Miller County,2066,749,0,0
178,Georgia,Mitchell County,4933,3990,0,0
179,Georgia,Monroe County,11060,4384,0,0
180,Georgia,Montgomery County,2959,976,0,0
181,Georgia,Morgan County,8228,3355,0,0
182,Georgia,Murray County,12943,2302,0,0
183,Georgia,Muscogee County,29949,49201,0,0
184,Georgia,Newton County,23867,29781,0,0
185,Georgia,Oconee County,16594,8160,0,0
186,Georgia,Oglethorpe County,5591,2435,0,0
187,Georgia,Paulding County,54460,29658,0,0
188,Georgia,Peach County,6502,5920,0,0
189,Georgia,Pickens County,14075,2808,0,0
190,Georgia,Pierce County,7899,1099,0,0
191,Georgia,Pike County,9124,1503,0,0
192,Georgia,Polk County,13589,3658,0,0
193,Georgia,Pulaski County,2805,1217,0,0
194,Georgia,Putnam County,8291,3448,0,0
195,Georgia,Quitman County,604,497,0,0
196,Georgia,Rabun County,7474,1984,0,0
197,Georgia,Randolph County,1391,1671,0,0
198,Georgia,Richmond County,26707,58776,0,0
199,Georgia,Rockdale County,12990,31199,0,0
200,Georgia,Schley County,1800,462,0,0
201,Georgia,Screven County,3915,2661,0,0
202,Georgia,Seminole County,2607,1251,0,0
203,Georgia,Spalding County,17337,11356,0,0
204,Georgia,Stephens County,9368,2385,0,0
205,Georgia,Stewart County,801,1182,0,0
206,Georgia,Sumter County,5732,6318,0,0
207,Georgia,Talbot County,1390,2113,0,0
208,Georgia,Taliaferro County,360,561,0,0
209,Georgia,Tattnall County,6048,2059,0,0
210,Georgia,Taylor County,2418,1387,0,0
211,Georgia,Telfair County,2822,1480,0,0
212,Georgia,Terrell County,2004,2376,0,0
213,Georgia,Thomas County,12954,8708,0,0
214,Georgia,Tift County,10784,5322,0,0
215,Georgia,Toombs County,7872,2939,0,0
216,Georgia,Towns County,6384,1550,0,0
217,Georgia,Treutlen County,2101,952,0,0
218,Georgia,Troup County,18097,11542,0,0
219,Georgia,Turner County,2349,1410,0,0
220,Georgia,Twiggs County,2368,2040,0,0
221,Georgia,Union County,12638,2801,0,0
222,Georgia,Upson County,8602,4201,0,0
223,Georgia,Walker County,23166,5764,0,0
224,Georgia,Walton County,37590,12609,0,0
225,Georgia,Ware County,9930,4249,0,0
226,Georgia,Warren County,1177,1488,0,0
227,Georgia,Washington County,4663,4730,0,0
228,Georgia,Wayne County,9987,2687,0,0
229,Georgia,Webster County,748,639,0,0
230,Georgia,Wheeler County,1583,688,0,0
231,Georgia,White County,12222,2411,0,0
232,Georgia,Whitfield County,25636,10670,0,0
233,Georgia,Wilcox County,2403,862,0,0
234,Georgia,Wilkes County,2823,2159,0,0
235,Georgia,Wilkinson County,2664,2075,0,0
236,Georgia,Worth County,6826,2395,0,0
237,Hawaii,Hawaii County,26851,58683,0,0
238,Hawaii,Honolulu County,136061,238601,0,0
239,Hawaii,Kauai County,11579,21217,0,0
240,Hawaii,Maui County,22111,47301,0,0
241,Idaho,Ada County,130699,120539,0,0
242,Idaho,Adams County,1941,591,0,0
243,Idaho,Bannock County,23331,14682,0,0
244,Idaho,Bear Lake County,2814,350,0,0
245,Idaho,Benewah County,3878,977,0,0
246,Idaho,Bingham County,15295,4124,0,0
247,Idaho,Blaine County,4031,8919,0,0
248,Idaho,Boise County,3495,1214,0,0
249,Idaho,Bonner County,18369,8310,0,0
250,Idaho,Bonneville County,37805,14254,0,0
251,Idaho,Boundary County,4937,1220,0,0
252,Idaho,Butte County,1202,188,0,0
253,Idaho,Camas County,507,149,0,0
254,Idaho,Canyon County,61759,25881,0,0
255,Idaho,Caribou County,2906,431,0,0
256,Idaho,Cassia County,7907,1464,0,0
257,Idaho,Clark County,264,41,0,0
258,Idaho,Clearwater County,3453,877,0,0
259,Idaho,Custer County,2089,603,0,0
260,Idaho,Elmore County,7246,2601,0,0
261,Idaho,Franklin County,5845,657,0,0
262,Idaho,Fremont County,5548,998,0,0
263,Idaho,Gem County,7951,1803,0,0
264,Idaho,Gooding County,4659,1256,0,0
265,Idaho,Idaho County,7826,1561,0,0
266,Idaho,Jefferson County,12099,1658,0,0
267,Idaho,Jerome County,5734,1893,0,0
268,Idaho,Kootenai County,62837,24312,0,0
269,Idaho,Latah County,9463,10199,0,0
270,Idaho,Lemhi County,3592,1032,0,0
271,Idaho,Lewis County,1489,349,0,0
272,Idaho,Lincoln County,1469,414,0,0
273,Idaho,Madison County,13559,2666,0,0
274,Idaho,Minidoka County,6265,1550,0,0
275,Idaho,Nez Perce County,13738,6686,0,0
276,Idaho,Oneida County,2148,249,0,0
277,Idaho,Owyhee County,3819,816,0,0
278,Idaho,Payette County,8862,2161,0,0
279,Idaho,Power County,2116,865,0,0
280,Idaho,Shoshone County,4216,1693,0,0
281,Idaho,Teton County,2858,3318,0,0
282,Idaho,Twin Falls County,25897,9391,0,0
283,Idaho,Valley County,3947,2976,0,0
284,Idaho,Washington County,4154,1073,0,0
