State,County,Votes_Left,Votes_Right
Georgia,Lincoln County,3175,1432
Georgia,Long County,3528,2033
Georgia,Lowndes County,25520,19832
Georgia,Lumpkin County,12160,3122
Georgia,McDuffie County,6169,4168
Georgia,McIntosh County,4016,2612
Georgia,Macon County,1783,2857
Georgia,Madison County,11146,3365
Georgia,Marion County,2275,1311
Georgia,Meriwether County,6524,4287
Georgia,Miller County,2066,749
Georgia,Mitchell County,4933,3990
Georgia,Monroe County,11060,4384
Georgia,Montgomery County,2959,976
Georgia,Morgan County,8228,3355
Georgia,Murray County,12943,2302
Georgia,Muscogee County,29949,49201
Georgia,Newton County,23867,29781
Georgia,Oconee County,16594,8160
Georgia,Oglethorpe County,5591,2435
Georgia,Paulding County,54460,29658
Georgia,Peach County,6502,5920
Georgia,Pickens County,14075,2808
Georgia,Pierce County,7899,1099
Georgia,Pike County,9124,1503
Georgia,Polk County,13589,3658
Georgia,Pulaski County,2805,1217
Georgia,Putnam County,8291,3448
Georgia,Quitman County,604,497
Georgia,Rabun County,7474,1984
Georgia,Randolph County,1391,1671
Georgia,Richmond County,26707,58776
Georgia,Rockdale County,12990,31199
Georgia,Schley County,1800,462
Georgia,Screven County,3915,2661
Georgia,Seminole County,2607,1251
Georgia,Spalding County,17337,11356
Georgia,Stephens County,9368,2385
Georgia,Stewart County,801,1182
Georgia,Sumter County,5732,6318
Georgia,Talbot County,1390,2113
Georgia,Taliaferro County,360,561
Georgia,Tattnall County,6048,2059
Georgia,Taylor County,2418,1387
Georgia,Telfair County,2822,1480
Georgia,Terrell County,2004,2376
Georgia,Thomas County,12954,8708
Georgia,Tift County,10784,5322
Georgia,Toombs County,7872,2939
Georgia,Towns County,6384,1550
Georgia,Treutlen County,2101,952
Georgia,Troup County,18097,11542
Georgia,Turner County,2349,1410
Georgia,Twiggs County,2368,2040
Georgia,Union County,12638,2801
Georgia,Upson County,8602,4201
Georgia,Walker County,23166,5764
Georgia,Walton County,37590,12609
Georgia,Ware County,9930,4249
Georgia,Warren County,1177,1488
Georgia,Washington County,4663,4730
Georgia,Wayne County,9987,2687
Georgia,Webster County,748,639
Georgia,Wheeler County,1583,688
Georgia,White County,12222,2411
Georgia,Whitfield County,25636,10670
Georgia,Wilcox County,2403,862
Georgia,Wilkes County,2823,2159
Georgia,Wilkinson County,2664,2075
Georgia,Worth County,6826,2395
Hawaii,Hawaii County,26851,58683
Hawaii,Honolulu County,136061,238601
Hawaii,Kauai County,11579,21217
Hawaii,Maui County,22111,47301
Idaho,Ada County,130699,120539
Idaho,Adams County,1941,591
Idaho,Bannock County,23331,14682
Idaho,Bear Lake County,2814,350
Idaho,Benewah County,3878,977
Idaho,Bingham County,15295,4124
Idaho,Blaine County,4031,8919
Idaho,Boise County,3495,1214
Idaho,Bonner County,18369,8310
Idaho,Bonneville County,37805,14254
Idaho,Boundary County,4937,1220
Idaho,Butte County,1202,188
Idaho,Camas County,507,149
Idaho,Canyon County,61759,25881
Idaho,Caribou County,2906,431
Idaho,Cassia County,7907,1464
Idaho,Clark County,264,41
Idaho,Clearwater County,3453,877
Idaho,Custer County,2089,603
Idaho,Elmore County,7246,2601
Idaho,Franklin County,5845,657
Idaho,Fremont County,5548,998
Idaho,Gem County,7951,1803
Idaho,Gooding County,4659,1256
Idaho,Idaho County,7826,1561
Idaho,Jefferson County,12099,1658
Idaho,Jerome County,5734,1893
Idaho,Kootenai County,62837,24312
Idaho,Latah County,9463,10199
Idaho,Lemhi County,3592,1032
Idaho,Lewis County,1489,349
Idaho,Lincoln County,1469,414
Idaho,Madison County,13559,2666
Idaho,Minidoka County,6265,1550
Idaho,Nez Perce County,13738,6686
Idaho,Oneida County,2148,249
Idaho,Owyhee County,3819,816
Idaho,Payette County,8862,2161
Idaho,Power County,2116,865
Idaho,Shoshone County,4216,1693
Idaho,Teton County,2858,3318
Idaho,Twin Falls County,25897,9391
Idaho,Valley County,3947,2976
Idaho,Washington County,4154,1073
Illinois,Adams County,24131,8569
Illinois,Alexander County,3056,2522
Illinois,Bond County,5612,2275
Illinois,Boone County,13762,10372
Illinois,Brown County,1930,485
Illinois,Bureau County,10296,6545
Illinois,Calhoun County,2043,674
Illinois,Carroll County,5098,2737
Illinois,Cass County,3624,1615
Illinois,Champaign County,34774,55173
Illinois,Christian County,11505,4286
Illinois,Clark County,6215,1990
Illinois,Clay County,5626,1129
Illinois,Clinton County,14264,4459
Illinois,Coles County,13981,7997
Illinois,Cook County,472127,1327394
Illinois,Crawford County,7025,2198
Illinois,Cumberland County,4595,1141
Illinois,DeKalb County,21818,24484
Illinois,De Witt County,5623,2171
Illinois,Douglas County,6221,2327
Illinois,DuPage County,187957,269638
Illinois,Edgar County,6169,1869
Illinois,Edwards County,2833,488
Illinois,Effingham County,14983,3700
Illinois,Fayette County,8025,1815
Illinois,Ford County,4956,1691
Illinois,Franklin County,13514,4690
Illinois,Fulton County,9798,6371
Illinois,Gallatin County,2019,621
Illinois,Greene County,4767,1349
Illinois,Grundy County,16372,9445
Illinois,Hamilton County,3429,821
Illinois,Hancock County,5309,1114
Illinois,Hardin County,0,0
Illinois,Henderson County,2391,1186
Illinois,Henry County,15266,9762
Illinois,Iroquois County,10858,2895
Illinois,Jackson County,7066,3749
Illinois,Jasper County,4492,1006
Illinois,Jefferson County,12461,4597
Illinois,Jersey County,8699,2956
Illinois,Jo Daviess County,7161,5097
Illinois,Johnson County,5052,1280
Illinois,Kane County,96196,129116
Illinois,Kankakee County,28410,20112
Illinois,Kendall County,28515,31394
Illinois,Knox County,11818,10421
Illinois,Lake County,105416,144674
Illinois,LaSalle County,29482,21491
Illinois,Lawrence County,4849,1414
Illinois,Lee County,9584,6368
Illinois,Livingston County,12134,4568
Illinois,Logan County,9042,3769
Illinois,McDonough County,7009,4973
Illinois,McHenry County,79396,73610
Illinois,McLean County,40365,43719
Illinois,Macon County,28373,19633
Illinois,Macoupin County,16058,7313
Illinois,Madison County,75727,56845
Illinois,Marion County,12540,4396
Illinois,Marshall County,4196,2004
Illinois,Mason County,4645,1984
Illinois,Massac County,4989,1719
Illinois,Menard County,4722,2003
Illinois,Mercer County,5328,3212
Illinois,Monroe County,14046,6489
Illinois,Montgomery County,9504,3889
Illinois,Morgan County,9903,5020
Illinois,Moultrie County,4938,1645
Illinois,Ogle County,16092,9300
Illinois,Peoria County,37612,42600
Illinois,Perry County,7305,2609
Illinois,Piatt County,6219,3302
Illinois,Pike County,6235,1458
Illinois,Pope County,1720,432
Illinois,Pulaski County,1699,891
Illinois,Putnam County,1978,1309
Illinois,Randolph County,11065,3590
Illinois,Richland County,7988,1355
Illinois,Rock Island County,28585,36647
Illinois,St. Clair County,56000,66698
Illinois,Saline County,8096,2786
Illinois,Sangamon County,53303,48756
Illinois,Schuyler County,2767,1064
Illinois,Scott County,2104,569
Illinois,Shelby County,9396,2488
Illinois,Stark County,2000,814
Illinois,Stephenson County,12253,8756
Illinois,Tazewell County,42194,24486
Illinois,Union County,6157,2575
Illinois,Vermilion County,20710,10313
Illinois,Wabash County,4228,1248
Illinois,Warren County,4671,3087
Illinois,Washington County,6110,1639
Illinois,Wayne County,7172,1185
Illinois,White County,5788,1517
Illinois,Whiteside County,14472,12195
Illinois,Will County,149695,174226
Illinois,Williamson County,22681,10107
Illinois,Winnebago County,60390,58721
Illinois,Woodford County,11764,4664
Illinois,Cook Suburbs,314989,566905
Indiana,Adams County,10685,3236
Indiana,Allen County,91885,72825
Indiana,Bartholomew County,22409,12934
Indiana,Benton County,3007,1009
Indiana,Blackford County,3838,1376
Indiana,Boone County,22351,15244
Indiana,Brown County,5725,2996
Indiana,Carroll County,7086,2224
Indiana,Cass County,10551,4301
Indiana,Clark County,33656,23088
Indiana,Clay County,9498,2549
Indiana,Clinton County,9334,3361
Indiana,Crawford County,3499,1369
Indiana,Daviess County,9576,2169
Indiana,Dearborn County,19441,5433
Indiana,Decatur County,9570,2436
Indiana,DeKalb County,14237,4966
Indiana,Delaware County,26724,20328
Indiana,Dubois County,15032,6292
Indiana,Elkhart County,46311,25413
Indiana,Fayette County,7755,2237
Indiana,Floyd County,23385,17507
Indiana,Fountain County,6151,1627
Indiana,Franklin County,9691,2137
Indiana,Fulton County,6667,2274
Indiana,Gibson County,11817,4027
Indiana,Grant County,18543,8015
Indiana,Greene County,11103,3389
Indiana,Hamilton County,101563,88367
Indiana,Hancock County,28816,12821
Indiana,Harrison County,14542,5334
Indiana,Hendricks County,53688,32453
Indiana,Henry County,15043,5543
Indiana,Howard County,26400,13270
Indiana,Huntington County,13147,4254
Indiana,Jackson County,14555,4302
Indiana,Jasper County,11383,3798
Indiana,Jay County,6361,1926
Indiana,Jefferson County,9659,4732
Indiana,Jennings County,9488,2521
Indiana,Johnson County,51209,24729
Indiana,Knox County,11654,4067
Indiana,Kosciusko County,26476,8350
Indiana,LaGrange County,8110,2355
Indiana,Lake County,91733,124801
Indiana,LaPorte County,25991,22419
Indiana,Lawrence County,15601,4961
Indiana,Madison County,31153,19459
Indiana,Marion County,133902,247034
Indiana,Marshall County,13841,5712
Indiana,Martin County,4029,1011
Indiana,Miami County,10925,3235
Indiana,Monroe County,22062,39855
Indiana,Montgomery County,12659,4212
Indiana,Morgan County,27510,7777
Indiana,Newton County,4942,1509
Indiana,Noble County,14195,4660
Indiana,Ohio County,2392,750
Indiana,Orange County,6432,2224
Indiana,Owen County,7285,2419
Indiana,Parke County,5398,1503
Indiana,Perry County,5343,3202
Indiana,Pike County,4692,1415
Indiana,Porter County,44899,39537
Indiana,Posey County,9206,3811
Indiana,Pulaski County,4246,1463
Indiana,Putnam County,12278,3946
Indiana,Randolph County,8312,2512
Indiana,Ripley County,11261,2774
Indiana,Rush County,6035,1754
Indiana,St. Joseph County,53152,59870
Indiana,Scott County,7328,2698
Indiana,Shelby County,14568,5023
Indiana,Spencer County,7354,3208
Indiana,Starke County,7466,2650
Indiana,Steuben County,11322,4509
Indiana,Sullivan County,6687,2153
Indiana,Switzerland County,3133,964
Indiana,Tippecanoe County,34571,34993
Indiana,Tipton County,6110,1834
Indiana,Union County,2687,736
Indiana,Vanderburgh County,41838,34404
Indiana,Vermillion County,5184,2145
Indiana,Vigo County,24512,18080
Indiana,Wabash County,10762,3494
Indiana,Warren County,3401,974
Indiana,Warrick County,21324,11919
Indiana,Washington County,9112,2783
Indiana,Wayne County,17567,9524
Indiana,Wells County,10855,2928
Indiana,White County,7353,2868
Indiana,Whitley County,12856,4233
Iowa,Adair County,2917,1197
Iowa,Adams County,1528,590
Iowa,Allamakee County,4733,2575
Iowa,Appanoose County,4508,1889
Iowa,Audubon County,2292,1071
Iowa,Benton County,9179,5156
Iowa,Black Hawk County,29623,35621
Iowa,Boone County,8676,6293
Iowa,Bremer County,8287,5954
Iowa,Buchanan County,6418,4167
Iowa,Buena Vista County,5004,2919
Iowa,Butler County,5540,2423
Iowa,Calhoun County,3687,1469
Iowa,Carroll County,7720,3444
Iowa,Cass County,4969,2201
Iowa,Cedar County,6161,4336
Iowa,Cerro Gordo County,12435,10941
Iowa,Cherokee County,4495,1936
Iowa,Chickasaw County,4299,2230
Iowa,Clarke County,3140,1466
Iowa,Clay County,6126,2653
Iowa,Clayton County,6105,3339
Iowa,Clinton County,13349,10806
Iowa,Crawford County,4842,2211
Iowa,Dallas County,27882,26771
Iowa,Davis County,3032,1013
Iowa,Decatur County,2613,1117
Iowa,Delaware County,6666,3157
Iowa,Des Moines County,10589,8887
Iowa,Dickinson County,7432,3660
Iowa,Dubuque County,27214,25655
Iowa,Emmet County,3265,1520
Iowa,Fayette County,6145,3834
Iowa,Floyd County,4730,3168
Iowa,Franklin County,3420,1625
Iowa,Fremont County,2711,1078
Iowa,Greene County,3221,1768
Iowa,Grundy County,4911,2194
Iowa,Guthrie County,4272,1985
Iowa,Hamilton County,4956,2842
Iowa,Hancock County,4386,1682
Iowa,Hardin County,5842,2971
Iowa,Harrison County,5563,2439
Iowa,Henry County,6483,3264
Iowa,Howard County,3126,1772
Iowa,Humboldt County,3818,1442
Iowa,Ida County,2876,917
