State,County,Votes_Left,Votes_Right,Total_shootings,Normalized_Shootings_rate,FIPS
Georgia,Clayton County,15671,94365,8,0.007,13063
Georgia,Clinch County,2105,747,1,0.032,13065
Georgia,Cobb County,164965,221234,20,0.005,13067
Georgia,Coffee County,10532,4463,1,0.006,01031
Georgia,Colquitt County,11776,4185,2,0.011,13071
Georgia,Columbia County,49952,29175,2,0.002,05027
Georgia,Cook County,4900,2059,1,0.013,13075
Georgia,Coweta County,51405,24072,5,0.006,13077
Georgia,Crawford County,4428,1615,1,0.015,05033
Georgia,Crisp County,4982,2980,0,0.000,13081
Georgia,Dade County,6066,1261,0,0.000,12025
Georgia,Dawson County,13393,2486,0,0.000,13085
Georgia,Decatur County,6758,4780,2,0.016,13087
Georgia,DeKalb County,57993,305197,24,0.006,01049
Georgia,Dodge County,5839,2170,0,0.000,13091
Georgia,Dooly County,2159,1911,0,0.000,13093
Georgia,Dougherty County,10419,24407,1,0.003,13095
Georgia,Douglas County,25308,42609,3,0.004,08035
Georgia,Early County,2719,2437,0,0.000,13099
Georgia,Echols County,1256,167,0,0.000,13101
Georgia,Effingham County,23340,7706,3,0.009,13103
Georgia,Elbert County,6226,2879,1,0.010,08039
Georgia,Emanuel County,6551,2884,0,0.000,13107
Georgia,Evans County,2888,1324,1,0.022,13109
Georgia,Fannin County,12144,2571,0,0.000,13111
Georgia,Fayette County,36316,31863,1,0.001,01057
Georgia,Floyd County,27059,10959,3,0.007,13115
Georgia,Forsyth County,85081,42177,6,0.004,13117
Georgia,Franklin County,9066,1593,1,0.009,01059
Georgia,Fulton County,135043,373569,35,0.006,05049
Georgia,Gilmer County,13382,2905,0,0.000,13123
Georgia,Glascock County,1403,155,0,0.000,13125
Georgia,Glynn County,25581,15857,3,0.007,13127
Georgia,Gordon County,19405,4384,2,0.008,13129
Georgia,Grady County,7027,3608,0,0.000,13131
Georgia,Greene County,7068,4088,1,0.008,01063
Georgia,Gwinnett County,166016,241140,17,0.004,13135
Georgia,Habersham County,16616,3559,2,0.009,13137
Georgia,Hall County,64105,25002,7,0.007,13139
Georgia,Hancock County,1159,2985,0,0.000,13141
Georgia,Haralson County,12326,1792,1,0.006,13143
Georgia,Harris County,14319,5457,1,0.005,13145
Georgia,Hart County,9464,3157,0,0.000,13147
Georgia,Heard County,4515,823,0,0.000,13149
Georgia,Henry County,48187,73276,8,0.006,01067
Georgia,Houston County,41468,32149,3,0.004,01069
Georgia,Irwin County,3134,1008,0,0.000,13155
Georgia,Jackson County,29497,7642,1,0.002,01071
Georgia,Jasper County,5822,1761,1,0.012,13159
Georgia,Jeff Davis County,4695,1028,1,0.016,13161
Georgia,Jefferson County,3537,4061,0,0.000,01073
Georgia,Jenkins County,2161,1266,0,0.000,13165
Georgia,Johnson County,2850,1222,0,0.000,05071
Georgia,Jones County,9965,4888,0,0.000,13169
Georgia,Lamar County,6322,2612,1,0.010,01075
Georgia,Lanier County,2509,1019,0,0.000,13173
Georgia,Laurens County,14479,8048,3,0.012,13175
Georgia,Lee County,11998,4556,2,0.011,01081
Georgia,Liberty County,7944,13051,0,0.000,12077
Georgia,Lincoln County,3175,1432,0,0.000,05079
Georgia,Long County,3528,2033,1,0.016,13183
Georgia,Lowndes County,25520,19832,3,0.006,01085
Georgia,Lumpkin County,12160,3122,1,0.006,13187
Georgia,McDuffie County,6169,4168,0,0.000,13189
Georgia,McIntosh County,4016,2612,3,0.041,13191
Georgia,Macon County,1783,2857,0,0.000,01087
Georgia,Madison County,11146,3365,0,0.000,01089
Georgia,Marion County,2275,1311,0,0.000,01093
Georgia,Meriwether County,6524,4287,1,0.008,13199
Georgia,Miller County,2066,749,0,0.000,05091
Georgia,Mitchell County,4933,3990,0,0.000,13205
Georgia,Monroe County,11060,4384,1,0.006,01099
Georgia,Montgomery County,2959,976,0,0.000,01101
Georgia,Morgan County,8228,3355,0,0.000,01103
Georgia,Murray County,12943,2302,0,0.000,13213
Georgia,Muscogee County,29949,49201,9,0.010,13215
Georgia,Newton County,23867,29781,4,0.007,05101
Georgia,Oconee County,16594,8160,1,0.004,13219
Georgia,Oglethorpe County,5591,2435,0,0.000,13221
Georgia,Paulding County,54460,29658,2,0.002,13223
Georgia,Peach County,6502,5920,0,0.000,13225
Georgia,Pickens County,14075,2808,3,0.016,01107
Georgia,Pierce County,7899,1099,0,0.000,13229
Georgia,Pike County,9124,1503,1,0.009,01109
Georgia,Polk County,13589,3658,3,0.016,05113
Georgia,Pulaski County,2805,1217,0,0.000,05119
Georgia,Putnam County,8291,3448,1,0.008,12107
Georgia,Quitman County,604,497,0,0.000,13239
Georgia,Rabun County,7474,1984,1,0.010,13241
Georgia,Randolph County,1391,1671,1,0.030,01111
Georgia,Richmond County,26707,58776,6,0.006,13245
Georgia,Rockdale County,12990,31199,1,0.002,13247
Georgia,Schley County,1800,462,0,0.000,13249
Georgia,Screven County,3915,2661,1,0.014,13251
Georgia,Seminole County,2607,1251,0,0.000,12117
Georgia,Spalding County,17337,11356,3,0.010,13255
Georgia,Stephens County,9368,2385,0,0.000,13257
Georgia,Stewart County,801,1182,1,0.046,13259
Georgia,Sumter County,5732,6318,0,0.000,01119
Georgia,Talbot County,1390,2113,0,0.000,13263
Georgia,Taliaferro County,360,561,0,0.000,13265
Georgia,Tattnall County,6048,2059,1,0.011,13267
Georgia,Taylor County,2418,1387,1,0.024,12123
Georgia,Telfair County,2822,1480,0,0.000,13271
Georgia,Terrell County,2004,2376,0,0.000,13273
Georgia,Thomas County,12954,8708,2,0.008,13275
Georgia,Tift County,10784,5322,1,0.006,13277
Georgia,Toombs County,7872,2939,0,0.000,13279
Georgia,Towns County,6384,1550,0,0.000,13281
Georgia,Treutlen County,2101,952,0,0.000,13283
Georgia,Troup County,18097,11542,3,0.009,13285
Georgia,Turner County,2349,1410,0,0.000,13287
Georgia,Twiggs County,2368,2040,0,0.000,13289
Georgia,Union County,12638,2801,0,0.000,05139
Georgia,Upson County,8602,4201,0,0.000,13293
Georgia,Walker County,23166,5764,4,0.013,01127
Georgia,Walton County,37590,12609,4,0.007,12131
Georgia,Ware County,9930,4249,2,0.013,13299
Georgia,Warren County,1177,1488,0,0.000,13301
Georgia,Washington County,4663,4730,1,0.010,01129
Georgia,Wayne County,9987,2687,1,0.007,13305
Georgia,Webster County,748,639,0,0.000,13307
Georgia,Wheeler County,1583,688,1,0.040,13309
Georgia,White County,12222,2411,0,0.000,05145
Georgia,Whitfield County,25636,10670,5,0.013,13313
Georgia,Wilcox County,2403,862,0,0.000,01131
Georgia,Wilkes County,2823,2159,0,0.000,13317
Georgia,Wilkinson County,2664,2075,0,0.000,13319
Georgia,Worth County,6826,2395,1,0.010,13321
Hawaii,Hawaii County,26851,58683,11,0.012,15001
Hawaii,Honolulu County,136061,238601,25,0.006,15003
Hawaii,Kauai County,11579,21217,1,0.003,15007
Hawaii,Maui County,22111,47301,2,0.003,15009
Idaho,Ada County,130699,120539,13,0.005,16001
Idaho,Adams County,1941,591,1,0.036,08001
Idaho,Bannock County,23331,14682,3,0.007,16005
Idaho,Bear Lake County,2814,350,0,0.000,16007
